time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.446255,0,0,0,48,16
0.716098,0,0,0,64,0
0.829713,0,0,0,60,4
0.908871,0,0,0,44,20
1.01037,0,0,0,60,4
1.07984,0,0,0,64,0
1.5205,0,0,0,60,4
1.54096,0,0,0,44,20
1.68702,0,0,0,48,16
1.70808,0,0,0,44,20
1.80911,0,0,0,28,36
1.95951,0,0,0,32,32
2.01788,0,0,0,16,48
2.39935,0,0,0,32,32
2.39958,0,0,0,16,48
2.51165,0,0,0,32,32
2.5119,0,0,0,16,48
2.56286,0,0,0,12,52
2.66708,0,0,0,8,56
2.78102,0,0,0,24,40
2.78126,0,0,0,8,56
3.13794,0,0,0,24,40
3.13818,0,0,0,8,56
3.21683,0,0,0,4,60
3.26693,0,0,0,8,56
3.36331,0,0,0,24,40
3.36354,0,0,0,8,56
3.39415,0,0,0,12,52
3.43795,0,0,0,16,48
3.43819,0,0,0,0,64
3.50959,0,0,0,16,48
3.58016,0,0,0,0,64
4.09258,0,0,0,16,48
4.09282,0,0,0,0,64
4.40224,0,0,0,16,48
4.40248,0,0,0,12,52
4.4025,0,0,0,8,56
4.42438,0,0,0,24,40
4.42462,0,0,0,8,56
4.50111,0,0,0,4,60
4.57714,0,0,0,20,44
4.57738,0,0,0,4,60
4.78876,0,0,0,8,56
4.80126,0,0,0,12,52
4.89359,0,0,0,28,36
4.89383,0,0,0,12,52
5.0491,0,0,0,28,36
5.04934,0,0,0,12,52
5.11069,0,0,0,16,48
5.11094,0,0,0,0,64
5.88043,0,0,0,16,48
5.88068,0,0,0,0,64
6.40188,0,0,0,16,48
6.40213,0,0,0,12,52
6.82413,0,0,0,28,36
6.82437,0,0,0,12,52
6.8244,0,0,0,8,56
6.99318,0,0,0,24,40
6.99341,0,0,0,8,56
7.06148,0,0,0,24,40
7.06172,0,0,0,8,56
7.0842,0,0,0,4,60
7.19594,0,0,0,8,56
7.35806,0,0,0,12,52
7.54815,0,0,0,28,36
7.5484,0,0,0,12,52
7.62207,0,0,0,16,48
7.63109,0,0,0,12,52
7.72293,0,0,0,16,48
7.78704,0,0,0,12,52
7.87383,0,0,0,28,36
7.99756,0,0,0,44,20
8.42841,0,0,0,28,36
8.52301,0,0,0,44,20
8.55478,0,0,0,48,16
8.56662,0,0,0,32,32
8.75476,0,0,0,16,48
8.76881,0,0,0,32,32
8.78234,0,0,0,16,48
8.94104,0,0,0,12,52
9.1394,0,0,0,8,56
9.22733,0,0,0,24,40
9.24734,0,0,0,8,56
9.48564,0,0,0,12,52
9.70471,0,0,0,28,36
9.70494,0,0,0,12,52
9.70749,0,0,0,8,56
9.75267,0,0,0,12,52
10.1793,0,0,0,28,36
10.1795,0,0,0,12,52
10.3463,0,0,0,28,36
10.3615,0,0,0,32,32
10.4225,0,0,0,16,48
10.435,0,0,0,12,52
10.5393,0,0,0,28,36
10.9433,0,0,0,24,40
11.028,0,0,0,28,36
11.1867,0,0,0,24,40
11.1929,0,0,0,40,24
11.2247,0,0,0,56,8
11.2372,0,0,0,60,4
11.5751,0,0,0,56,8
11.6622,0,0,0,40,24
11.7231,0,0,0,44,20
11.7291,0,0,0,40,24
11.9851,0,0,0,44,20
12.0774,0,0,0,40,24
12.2446,0,0,0,44,20
12.3425,0,0,0,48,16
12.5993,0,0,0,44,20
12.6414,0,0,0,60,4
12.6778,0,0,0,44,20
12.792,0,0,0,40,24
12.7954,0,0,0,44,20
12.9001,0,0,0,28,36
12.9071,0,0,0,24,40
12.9191,0,0,0,8,56
13.0903,0,0,0,12,52
13.2431,0,0,0,16,48
13.5777,0,0,0,32,32
13.578,0,0,0,16,48
13.6259,0,0,0,32,32
13.6976,0,0,0,48,16
13.7403,0,0,0,32,32
13.8782,0,0,0,16,48
14.1294,0,0,0,32,32
14.2884,0,0,0,48,16
14.3544,0,0,0,44,20
14.6047,0,0,0,48,16
14.6909,0,0,0,64,0
14.757,0,0,0,60,4
14.7731,0,0,0,44,20
14.9518,0,0,0,40,24
15.0117,0,0,0,36,28
15.2978,0,0,0,32,32
15.2999,0,0,0,16,48
15.3439,0,0,0,20,44
15.4165,0,0,0,36,28
15.4586,0,0,0,40,24
15.5485,0,0,0,36,28
15.5835,0,0,0,40,24
15.7272,0,0,0,44,20
15.7593,0,0,0,28,36
15.8186,0,0,0,44,20
15.8851,0,0,0,40,24
15.983,0,0,0,24,40
16.105,0,0,0,40,24
16.1738,0,0,0,56,8
16.3125,0,0,0,52,12
16.3169,0,0,0,48,16
16.3761,0,0,0,52,12
16.4169,0,0,0,56,8
16.5959,0,0,0,60,4
16.7176,0,0,0,64,0
16.9862,0,0,0,60,4
17.0655,0,0,0,64,0
17.1766,0,0,0,48,16
17.247,0,0,0,32,32
18.2137,0,0,0,48,16
18.5043,0,0,0,64,0
