time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.893036,0,0,0,60,4
0.973369,0,0,0,64,0
1.19417,0,0,0,60,4
1.4073,0,0,0,64,0
1.43612,0,0,0,48,16
1.4496,0,0,0,32,32
1.5227,0,0,0,16,48
1.72745,0,0,0,32,32
1.87674,0,0,0,16,48
1.89152,0,0,0,12,52
2.06398,0,0,0,8,56
2.22867,0,0,0,12,52
2.31127,0,0,0,28,36
2.31151,0,0,0,12,52
2.40368,0,0,0,28,36
2.40391,0,0,0,12,52
2.52271,0,0,0,16,48
2.53741,0,0,0,0,64
2.6767,0,0,0,16,48
2.74948,0,0,0,32,32
2.75226,0,0,0,16,48
2.81451,0,0,0,32,32
2.93172,0,0,0,16,48
3.11916,0,0,0,12,52
3.62485,0,0,0,16,48
3.6251,0,0,0,0,64
3.77598,0,0,0,16,48
3.77623,0,0,0,0,64
3.88443,0,0,0,16,48
3.88467,0,0,0,12,52
3.8847,0,0,0,8,56
3.88473,0,0,0,4,60
3.97472,0,0,0,20,44
3.97496,0,0,0,4,60
4.14964,0,0,0,0,64
4.25267,0,0,0,4,60
4.2686,0,0,0,8,56
4.58859,0,0,0,12,52
4.64424,0,0,0,28,36
4.64449,0,0,0,12,52
4.64521,0,0,0,16,48
4.64545,0,0,0,0,64
4.77893,0,0,0,16,48
4.77917,0,0,0,0,64
4.87972,0,0,0,16,48
4.87995,0,0,0,0,64
5.31356,0,0,0,16,48
5.3138,0,0,0,0,64
5.40996,0,0,0,16,48
5.41019,0,0,0,0,64
5.54941,0,0,0,16,48
5.54964,0,0,0,0,64
5.82439,0,0,0,16,48
5.82463,0,0,0,12,52
5.82466,0,0,0,8,56
5.96471,0,0,0,4,60
5.9725,0,0,0,0,64
6.06535,0,0,0,16,48
6.0656,0,0,0,0,64
6.06944,0,0,0,16,48
6.13846,0,0,0,20,44
6.24846,0,0,0,24,40
6.27733,0,0,0,20,44
6.28951,0,0,0,24,40
6.38115,0,0,0,20,44
6.39104,0,0,0,16,48
6.55314,0,0,0,32,32
6.66568,0,0,0,36,28
6.73076,0,0,0,40,24
6.79122,0,0,0,44,20
6.82428,0,0,0,28,36
6.91996,0,0,0,32,32
6.94261,0,0,0,16,48
7.05277,0,0,0,32,32
7.12426,0,0,0,48,16
7.42031,0,0,0,32,32
7.5378,0,0,0,28,36
7.61266,0,0,0,32,32
7.78428,0,0,0,16,48
7.93773,0,0,0,32,32
8.32214,0,0,0,16,48
8.40913,0,0,0,32,32
8.44814,0,0,0,16,48
8.4507,0,0,0,32,32
8.56814,0,0,0,28,36
8.65792,0,0,0,12,52
8.74131,0,0,0,28,36
8.78486,0,0,0,32,32
8.83938,0,0,0,48,16
9.4765,0,0,0,32,32
9.4845,0,0,0,48,16
9.53044,0,0,0,44,20
9.54759,0,0,0,28,36
9.59546,0,0,0,24,40
9.64462,0,0,0,40,24
9.7057,0,0,0,24,40
9.74725,0,0,0,28,36
9.77738,0,0,0,44,20
9.8518,0,0,0,48,16
10.4941,0,0,0,32,32
10.5809,0,0,0,48,16
10.6709,0,0,0,64,0
10.8593,0,0,0,48,16
11.1019,0,0,0,32,32
11.1401,0,0,0,28,36
11.4665,0,0,0,24,40
11.5048,0,0,0,40,24
11.5345,0,0,0,44,20
11.5829,0,0,0,48,16
11.7764,0,0,0,32,32
11.7785,0,0,0,48,16
11.8811,0,0,0,44,20
11.9178,0,0,0,28,36
11.9985,0,0,0,44,20
12.0732,0,0,0,28,36
12.1369,0,0,0,12,52
12.1468,0,0,0,16,48
12.2549,0,0,0,0,64
12.8019,0,0,0,16,48
12.8021,0,0,0,12,52
12.8021,0,0,0,8,56
12.8442,0,0,0,4,60
13.1439,0,0,0,20,44
13.1441,0,0,0,4,60
13.1441,0,0,0,0,64
13.1884,0,0,0,16,48
13.1886,0,0,0,0,64
13.225,0,0,0,16,48
13.342,0,0,0,20,44
13.5031,0,0,0,24,40
13.604,0,0,0,28,36
13.6339,0,0,0,32,32
13.6702,0,0,0,28,36
13.877,0,0,0,12,52
14.0723,0,0,0,8,56
14.0731,0,0,0,4,60
14.1483,0,0,0,20,44
14.1964,0,0,0,36,28
14.2634,0,0,0,32,32
14.3528,0,0,0,36,28
14.3561,0,0,0,40,24
14.4313,0,0,0,44,20
14.4804,0,0,0,48,16
14.6053,0,0,0,44,20
14.8137,0,0,0,60,4
15.2884,0,0,0,56,8
15.343,0,0,0,40,24
15.4178,0,0,0,44,20
15.527,0,0,0,40,24
15.5398,0,0,0,44,20
15.7115,0,0,0,48,16
15.9154,0,0,0,44,20
15.9351,0,0,0,28,36
15.9456,0,0,0,12,52
15.9978,0,0,0,16,48
15.998,0,0,0,0,64
16.3712,0,0,0,16,48
16.3729,0,0,0,32,32
16.4143,0,0,0,16,48
16.5025,0,0,0,0,64
17.1753,0,0,0,16,48
17.1755,0,0,0,0,64
17.6924,0,0,0,16,48
17.6926,0,0,0,12,52
17.6927,0,0,0,8,56
17.6927,0,0,0,4,60
17.6927,0,0,0,0,64
17.79,0,0,0,16,48
17.7903,0,0,0,0,64
17.9785,0,0,0,4,60
17.9787,0,0,0,0,64
18.2044,0,0,0,16,48
18.2046,0,0,0,0,64
18.2351,0,0,0,4,60
18.2905,0,0,0,8,56
18.3094,0,0,0,24,40
18.3097,0,0,0,8,56
18.4096,0,0,0,24,40
18.4098,0,0,0,8,56
