allocated_processors,consumed_energy,execution_time,finish_time,job_id,metadata,requested_number_of_processors,requested_time,starting_time,stretch,submission_time,success,turnaround_time,waiting_time,workload_name
0-3,-1.000000,0.080333,0.973369,1,"",4,4200.000000,0.893036,1.000752,0.892976,1,0.080394,0.000060,db3eff
0-15,-1.000000,0.410598,2.814505,10,"",16,4200.000000,2.403908,1.253036,2.300012,1,0.514494,0.103896,db3eff
32-47,-1.000000,0.995396,21.186542,100,"",16,4200.000000,20.191146,2.438506,18.759264,1,2.427278,1.431882,db3eff
48-63,-1.000000,1.347023,3.884430,11,"",16,4200.000000,2.537407,1.000049,2.537341,1,1.347089,0.000066,db3eff
16-31,-1.000000,1.023723,3.775981,12,"",16,4200.000000,2.752259,1.000061,2.752196,1,1.023785,0.000062,db3eff
0-15,-1.000000,1.042999,3.974719,13,"",16,4200.000000,2.931719,1.000054,2.931663,1,1.043056,0.000056,db3eff
32-35,-1.000000,0.505694,3.624852,14,"",4,4200.000000,3.119158,1.000122,3.119096,1,0.505756,0.000062,db3eff
32-47,-1.000000,1.019138,4.644240,15,"",16,4200.000000,3.625102,1.286686,3.332929,1,1.311310,0.292173,db3eff
16-31,-1.000000,1.103485,4.879716,16,"",16,4200.000000,3.776231,1.237350,3.514318,1,1.365398,0.261912,db3eff
48-51,-1.000000,0.368002,4.252671,17,"",4,4200.000000,3.884669,1.844878,3.573752,1,0.678918,0.310917,db3eff
52-55,-1.000000,0.383902,4.268601,18,"",4,4200.000000,3.884699,1.557977,3.670491,1,0.598111,0.214209,db3eff
56-59,-1.000000,0.760484,4.645213,19,"",4,4200.000000,3.884729,1.214353,3.721718,1,0.923495,0.163012,db3eff
0-3,-1.000000,0.213131,1.407298,2,"",4,4200.000000,1.194167,1.000331,1.194096,1,0.213202,0.000070,db3eff
0-15,-1.000000,1.574449,5.549407,20,"",16,4200.000000,3.974958,1.092133,3.829899,1,1.719508,0.145059,db3eff
32-47,-1.000000,1.908653,6.553142,21,"",16,4200.000000,4.644489,1.426478,3.830491,1,2.722651,0.813998,db3eff
48-63,-1.000000,0.133482,4.778934,22,"",16,4200.000000,4.645452,5.793554,4.005601,1,0.773333,0.639851,db3eff
60-63,-1.000000,0.438948,4.588593,23,"",4,4200.000000,4.149645,1.000138,4.149584,1,0.439009,0.000060,db3eff
48-63,-1.000000,0.534390,5.313564,24,"",16,4200.000000,4.779173,1.982042,4.254380,1,1.059184,0.524794,db3eff
16-31,-1.000000,0.530003,5.409955,25,"",16,4200.000000,4.879952,1.786054,4.463341,1,0.946614,0.416611,db3eff
48-63,-1.000000,0.510598,5.824395,26,"",16,4200.000000,5.313796,2.487773,4.554142,1,1.270253,0.759654,db3eff
16-31,-1.000000,0.659246,6.069436,27,"",16,4200.000000,5.410191,1.822337,4.868068,1,1.201368,0.542122,db3eff
0-15,-1.000000,0.515710,6.065346,28,"",16,4200.000000,5.549636,1.117118,5.489237,1,0.576109,0.060399,db3eff
48-51,-1.000000,0.313826,6.138460,29,"",4,4200.000000,5.824634,1.962462,5.522589,1,0.615871,0.302045,db3eff
0-15,-1.000000,0.291337,1.727454,3,"",16,4200.000000,1.436118,1.000207,1.436057,1,0.291397,0.000060,db3eff
52-55,-1.000000,0.464848,6.289513,30,"",4,4200.000000,5.824665,1.573264,5.558184,1,0.731329,0.266481,db3eff
0-15,-1.000000,0.989742,7.055338,31,"",16,4200.000000,6.065596,1.107066,5.959628,1,1.095710,0.105967,db3eff
56-59,-1.000000,0.766044,6.730757,32,"",4,4200.000000,5.964713,1.000078,5.964654,1,0.766103,0.000060,db3eff
60-63,-1.000000,0.275965,6.248461,33,"",4,4200.000000,5.972495,1.000197,5.972441,1,0.276019,0.000054,db3eff
16-19,-1.000000,0.388347,6.665678,34,"",4,4200.000000,6.277330,1.000139,6.277276,1,0.388401,0.000054,db3eff
20-23,-1.000000,0.538877,6.920027,35,"",4,4200.000000,6.381149,1.000106,6.381092,1,0.538934,0.000057,db3eff
24-27,-1.000000,0.400178,6.791217,36,"",4,4200.000000,6.391040,1.000134,6.390986,1,0.400232,0.000054,db3eff
24-39,-1.000000,0.327236,7.151512,37,"",16,4200.000000,6.824276,1.000154,6.824225,1,0.327287,0.000050,db3eff
40-55,-1.000000,0.977558,7.920169,38,"",16,4200.000000,6.942611,1.000072,6.942540,1,0.977629,0.000070,db3eff
0-15,-1.000000,1.031603,8.451909,39,"",16,4200.000000,7.420306,1.000068,7.420236,1,1.031673,0.000070,db3eff
16-31,-1.000000,1.227100,2.676698,4,"",16,4200.000000,1.449599,1.000049,1.449538,1,1.227160,0.000060,db3eff
16-19,-1.000000,0.074912,7.612709,40,"",4,4200.000000,7.537796,1.000807,7.537736,1,0.074973,0.000060,db3eff
16-31,-1.000000,1.099810,8.884081,41,"",16,4200.000000,7.784271,1.000048,7.784219,1,1.099862,0.000052,db3eff
32-47,-1.000000,0.088046,8.410171,42,"",16,4200.000000,8.322125,1.000529,8.322078,1,0.088093,0.000047,db3eff
32-47,-1.000000,1.039129,9.487266,43,"",16,4200.000000,8.448137,1.000058,8.448077,1,1.039189,0.000061,db3eff
0-3,-1.000000,0.248538,8.816668,44,"",4,4200.000000,8.568130,1.000234,8.568072,1,0.248596,0.000058,db3eff
48-63,-1.000000,0.111114,8.769038,45,"",16,4200.000000,8.657924,1.000566,8.657861,1,0.111177,0.000063,db3eff
0-15,-1.000000,0.303524,9.780025,46,"",16,4200.000000,9.476501,1.000204,9.476439,1,0.303586,0.000062,db3eff
16-19,-1.000000,0.321995,9.852440,47,"",4,4200.000000,9.530445,1.000219,9.530374,1,0.322066,0.000070,db3eff
20-35,-1.000000,0.096941,9.644532,48,"",16,4200.000000,9.547591,1.000609,9.547532,1,0.097000,0.000059,db3eff
36-39,-1.000000,0.151843,9.747308,49,"",4,4200.000000,9.595465,1.000464,9.595394,1,0.151914,0.000070,db3eff
32-47,-1.000000,1.226776,2.749476,5,"",16,4200.000000,1.522700,1.000038,1.522654,1,1.226822,0.000046,db3eff
20-35,-1.000000,0.959329,10.665037,50,"",16,4200.000000,9.705708,1.000063,9.705647,1,0.959389,0.000060,db3eff
0-15,-1.000000,0.088276,10.582344,51,"",16,4200.000000,10.494068,1.000691,10.494007,1,0.088337,0.000061,db3eff
0-15,-1.000000,0.919202,11.778503,52,"",16,4200.000000,10.859301,1.000077,10.859230,1,0.919272,0.000070,db3eff
16-31,-1.000000,0.402911,11.504780,53,"",16,4200.000000,11.101870,1.000150,11.101809,1,0.402971,0.000060,db3eff
32-35,-1.000000,0.394372,11.534470,54,"",4,4200.000000,11.140098,1.000134,11.140045,1,0.394425,0.000053,db3eff
36-39,-1.000000,0.116424,11.582949,55,"",4,4200.000000,11.466524,1.000526,11.466463,1,0.116485,0.000061,db3eff
16-31,-1.000000,1.024703,12.801118,56,"",16,4200.000000,11.776415,1.000069,11.776344,1,1.024774,0.000070,db3eff
0-3,-1.000000,0.266501,12.147649,57,"",4,4200.000000,11.881148,1.000264,11.881077,1,0.266572,0.000070,db3eff
32-47,-1.000000,0.082671,12.000424,58,"",16,4200.000000,11.917753,1.000708,11.917695,1,0.082729,0.000059,db3eff
32-47,-1.000000,1.035552,13.108762,59,"",16,4200.000000,12.073211,1.000052,12.073157,1,1.035606,0.000054,db3eff
0-15,-1.000000,0.434527,2.311271,6,"",16,4200.000000,1.876744,1.000154,1.876677,1,0.434594,0.000067,db3eff
48-63,-1.000000,0.969674,13.106555,60,"",16,4200.000000,12.136881,1.000063,12.136821,1,0.969734,0.000061,db3eff
0-15,-1.000000,0.986318,13.241186,61,"",16,4200.000000,12.254868,1.000049,12.254820,1,0.986367,0.000048,db3eff
16-19,-1.000000,0.698634,13.499992,62,"",4,4200.000000,12.801357,1.641210,12.353386,1,1.146606,0.447971,db3eff
20-23,-1.000000,0.535414,13.336802,63,"",4,4200.000000,12.801388,1.229327,12.678603,1,0.658199,0.122785,db3eff
48-63,-1.000000,0.987981,14.094768,64,"",16,4200.000000,13.106787,1.384451,12.726957,1,1.367811,0.379830,db3eff
24-27,-1.000000,0.786560,13.893371,65,"",4,4200.000000,13.106811,1.333930,12.844155,1,1.049216,0.262656,db3eff
28-31,-1.000000,0.527378,13.634219,66,"",4,4200.000000,13.106841,1.255733,12.971973,1,0.662246,0.134868,db3eff
32-47,-1.000000,0.969748,14.118849,67,"",16,4200.000000,13.149101,1.000043,13.149060,1,0.969790,0.000042,db3eff
0-3,-1.000000,0.809908,14.480157,68,"",4,4200.000000,13.670249,1.000075,13.670188,1,0.809968,0.000060,db3eff
4-19,-1.000000,1.017888,14.894890,69,"",16,4200.000000,13.877002,1.000069,13.876931,1,1.017958,0.000070,db3eff
48-51,-1.000000,0.631191,2.522712,7,"",4,4200.000000,1.891521,1.000101,1.891457,1,0.631255,0.000064,db3eff
20-23,-1.000000,0.536618,14.608913,70,"",4,4200.000000,14.072295,1.000131,14.072224,1,0.536689,0.000070,db3eff
24-27,-1.000000,0.243353,14.316493,71,"",4,4200.000000,14.073140,1.000289,14.073070,1,0.243423,0.000070,db3eff
28-31,-1.000000,0.100702,14.364035,72,"",4,4200.000000,14.263333,1.000508,14.263282,1,0.100753,0.000051,db3eff
0-3,-1.000000,0.812162,15.417512,73,"",4,4200.000000,14.605350,1.000079,14.605286,1,0.812226,0.000064,db3eff
4-7,-1.000000,0.251427,15.539773,74,"",4,4200.000000,15.288346,1.000240,15.288286,1,0.251487,0.000060,db3eff
8-23,-1.000000,1.021581,16.364591,75,"",16,4200.000000,15.343011,1.000054,15.342956,1,1.021636,0.000055,db3eff
0-3,-1.000000,0.184522,15.711533,76,"",4,4200.000000,15.527012,1.000274,15.526961,1,0.184572,0.000051,db3eff
0-3,-1.000000,0.083981,15.999379,77,"",4,4200.000000,15.915399,1.000686,15.915341,1,0.084038,0.000058,db3eff
24-39,-1.000000,0.377880,16.312943,78,"",16,4200.000000,15.935063,1.000160,15.935002,1,0.377940,0.000060,db3eff
40-55,-1.000000,1.447798,17.393429,79,"",16,4200.000000,15.945631,1.000036,15.945578,1,1.447851,0.000052,db3eff
52-55,-1.000000,0.164695,2.228675,8,"",4,4200.000000,2.063980,1.000406,2.063913,1,0.164761,0.000067,db3eff
24-39,-1.000000,1.044704,17.357886,80,"",16,4200.000000,16.313182,1.320396,15.978463,1,1.379422,0.334719,db3eff
0-15,-1.000000,1.511370,17.925701,81,"",16,4200.000000,16.414330,1.000033,16.414280,1,1.511421,0.000050,db3eff
24-39,-1.000000,1.220942,18.579069,82,"",16,4200.000000,17.358127,1.700843,16.502438,1,2.076631,0.855689,db3eff
40-55,-1.000000,1.237267,18.630927,83,"",16,4200.000000,17.393660,1.533833,16.733166,1,1.897761,0.660494,db3eff
16-19,-1.000000,0.719624,17.483574,84,"",4,4200.000000,16.763951,1.000084,16.763890,1,0.719684,0.000060,db3eff
20-23,-1.000000,0.294818,17.214250,85,"",4,4200.000000,16.919432,1.000224,16.919366,1,0.294884,0.000066,db3eff
0-15,-1.000000,1.714412,19.640353,86,"",16,4200.000000,17.925941,1.577840,16.935286,1,2.705068,0.990656,db3eff
16-31,-1.000000,0.108066,18.687384,87,"",16,4200.000000,18.579318,14.855122,17.082056,1,1.605328,1.497262,db3eff
32-47,-1.000000,0.553054,19.184217,88,"",16,4200.000000,18.631163,3.475513,17.262070,1,1.922147,1.369093,db3eff
20-23,-1.000000,0.426020,17.726072,89,"",4,4200.000000,17.300052,1.000162,17.299983,1,0.426089,0.000069,db3eff
0-15,-1.000000,0.092171,2.403684,9,"",16,4200.000000,2.311513,3.425116,2.087987,1,0.315697,0.223526,db3eff
56-59,-1.000000,0.915567,18.223379,90,"",4,4200.000000,17.307812,1.000050,17.307765,1,0.915614,0.000046,db3eff
16-31,-1.000000,1.554380,20.241997,91,"",16,4200.000000,18.687617,1.777599,17.478933,1,2.763064,1.208684,db3eff
16-19,-1.000000,0.259162,17.778212,92,"",4,4200.000000,17.519050,1.000224,17.518992,1,0.259220,0.000058,db3eff
20-23,-1.000000,0.386935,18.136278,93,"",4,4200.000000,17.749343,1.000166,17.749279,1,0.386999,0.000064,db3eff
32-47,-1.000000,1.006444,20.190901,94,"",16,4200.000000,19.184456,2.046411,18.131301,1,2.059599,1.053155,db3eff
56-59,-1.000000,0.552777,18.922892,95,"",4,4200.000000,18.370115,1.000089,18.370066,1,0.552826,0.000049,db3eff
0-15,-1.000000,1.028118,20.668701,96,"",16,4200.000000,19.640584,2.190162,18.416957,1,2.251744,1.223626,db3eff
60-63,-1.000000,1.248757,19.729165,97,"",4,4200.000000,18.480408,1.000048,18.480348,1,1.248817,0.000060,db3eff
48-63,-1.000000,0.972313,20.701711,98,"",16,4200.000000,19.729398,2.271346,18.493253,1,2.208459,1.236146,db3eff
48-51,-1.000000,0.358029,19.001176,99,"",4,4200.000000,18.643147,1.000156,18.643091,1,0.358085,0.000056,db3eff
