time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.461796,0,0,0,48,16
0.703221,0,0,0,64,0
0.845275,0,0,0,60,4
0.924422,0,0,0,44,20
0.95457,0,0,0,48,16
1.07836,0,0,0,64,0
1.53606,0,0,0,60,4
1.55947,0,0,0,44,20
1.72365,0,0,0,40,24
1.82466,0,0,0,24,40
1.95328,0,0,0,28,36
2.04123,0,0,0,12,52
2.47704,0,0,0,16,48
2.57842,0,0,0,12,52
2.68265,0,0,0,8,56
2.94578,0,0,0,24,40
2.96725,0,0,0,8,56
3.23239,0,0,0,4,60
3.64967,0,0,0,8,56
3.71453,0,0,0,4,60
4.16118,0,0,0,8,56
4.40634,0,0,0,4,60
4.76152,0,0,0,20,44
4.78298,0,0,0,4,60
4.9644,0,0,0,8,56
4.98588,0,0,0,4,60
5.0686,0,0,0,8,56
5.284,0,0,0,4,60
5.39149,0,0,0,20,44
5.40312,0,0,0,24,40
5.42661,0,0,0,8,56
5.87207,0,0,0,4,60
5.90419,0,0,0,20,44
5.92567,0,0,0,4,60
5.98136,0,0,0,8,56
6.15229,0,0,0,24,40
6.17377,0,0,0,8,56
6.7923,0,0,0,12,52
7.09975,0,0,0,8,56
7.28437,0,0,0,24,40
7.30583,0,0,0,8,56
7.517,0,0,0,12,52
7.64665,0,0,0,8,56
7.66993,0,0,0,12,52
7.71986,0,0,0,28,36
7.72485,0,0,0,32,32
7.75499,0,0,0,16,48
7.80261,0,0,0,12,52
8.95658,0,0,0,8,56
9.75906,0,0,0,24,40
9.77288,0,0,0,40,24
9.78052,0,0,0,24,40
9.80199,0,0,0,20,44
9.8098,0,0,0,16,48
9.82541,0,0,0,0,64
9.91126,0,0,0,4,60
10.0553,0,0,0,8,56
10.1886,0,0,0,12,52
10.2565,0,0,0,16,48
10.2779,0,0,0,0,64
10.551,0,0,0,16,48
10.5725,0,0,0,0,64
10.8659,0,0,0,16,48
10.8874,0,0,0,0,64
11.3886,0,0,0,16,48
11.4101,0,0,0,0,64
11.9981,0,0,0,16,48
12.0195,0,0,0,0,64
12.5206,0,0,0,16,48
12.5421,0,0,0,0,64
12.5902,0,0,0,16,48
12.6194,0,0,0,0,64
13.3403,0,0,0,16,48
13.3618,0,0,0,0,64
13.6031,0,0,0,16,48
13.6246,0,0,0,0,64
14.4788,0,0,0,16,48
14.5002,0,0,0,0,64
14.6371,0,0,0,16,48
14.6586,0,0,0,0,64
14.7416,0,0,0,16,48
14.7631,0,0,0,0,64
15.5795,0,0,0,16,48
15.601,0,0,0,0,64
15.6423,0,0,0,16,48
15.6638,0,0,0,0,64
15.769,0,0,0,16,48
15.7963,0,0,0,0,64
15.8423,0,0,0,16,48
15.8637,0,0,0,0,64
16.9067,0,0,0,16,48
16.9282,0,0,0,0,64
17.0539,0,0,0,16,48
17.0753,0,0,0,12,52
17.0831,0,0,0,8,56
17.0909,0,0,0,4,60
17.0987,0,0,0,0,64
17.6025,0,0,0,16,48
17.624,0,0,0,0,64
17.8363,0,0,0,4,60
17.8578,0,0,0,0,64
17.8811,0,0,0,16,48
17.9026,0,0,0,12,52
17.9104,0,0,0,8,56
17.9182,0,0,0,4,60
17.926,0,0,0,0,64
18.1738,0,0,0,4,60
18.1894,0,0,0,8,56
18.1953,0,0,0,4,60
18.2246,0,0,0,0,64
18.3198,0,0,0,4,60
18.3227,0,0,0,20,44
18.3275,0,0,0,24,40
18.3353,0,0,0,28,36
18.3431,0,0,0,32,32
18.3686,0,0,0,28,36
18.4115,0,0,0,12,52
18.4193,0,0,0,8,56
18.4271,0,0,0,4,60
18.4349,0,0,0,0,64
18.5286,0,0,0,4,60
18.55,0,0,0,0,64
18.6124,0,0,0,4,60
18.6339,0,0,0,0,64
18.7121,0,0,0,4,60
18.7335,0,0,0,0,64
18.8428,0,0,0,4,60
18.8643,0,0,0,0,64
18.9424,0,0,0,4,60
18.9486,0,0,0,8,56
19.1209,0,0,0,12,52
19.1798,0,0,0,16,48
19.4843,0,0,0,20,44
19.5216,0,0,0,36,28
19.5431,0,0,0,20,44
19.7845,0,0,0,36,28
19.806,0,0,0,20,44
20.0474,0,0,0,36,28
20.0688,0,0,0,20,44
20.1945,0,0,0,36,28
20.216,0,0,0,20,44
20.6102,0,0,0,24,40
20.6316,0,0,0,8,56
20.8205,0,0,0,12,52
20.9356,0,0,0,16,48
20.9571,0,0,0,0,64
21.1838,0,0,0,16,48
21.2052,0,0,0,0,64
21.3308,0,0,0,16,48
21.3523,0,0,0,0,64
21.3572,0,0,0,16,48
21.3816,0,0,0,0,64
21.5072,0,0,0,16,48
21.5287,0,0,0,0,64
22.0778,0,0,0,16,48
22.0992,0,0,0,0,64
22.9067,0,0,0,16,48
23.2097,0,0,0,32,32
23.4658,0,0,0,48,16
23.7758,0,0,0,64,0
