time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,48,16
0.18374,0,0,0,32,32
0.195107,0,0,0,48,16
0.232185,0,0,0,44,20
1.036,0,0,0,28,36
1.06313,0,0,0,24,40
1.20772,0,0,0,8,56
1.22196,0,0,0,24,40
1.41284,0,0,0,20,44
1.8062,0,0,0,16,48
1.91001,0,0,0,20,44
2.06122,0,0,0,24,40
2.17714,0,0,0,20,44
2.20056,0,0,0,16,48
2.31885,0,0,0,20,44
2.35895,0,0,0,4,60
2.62692,0,0,0,8,56
2.82555,0,0,0,12,52
2.84903,0,0,0,16,48
2.87049,0,0,0,0,64
3.31532,0,0,0,16,48
3.33678,0,0,0,12,52
3.34458,0,0,0,8,56
3.52183,0,0,0,4,60
4.17025,0,0,0,8,56
4.19338,0,0,0,4,60
4.60543,0,0,0,8,56
4.62689,0,0,0,4,60
5.16482,0,0,0,8,56
5.19409,0,0,0,4,60
5.29329,0,0,0,8,56
5.35173,0,0,0,12,52
5.66367,0,0,0,8,56
5.73112,0,0,0,12,52
6.59786,0,0,0,8,56
6.74121,0,0,0,24,40
6.76377,0,0,0,28,36
6.77049,0,0,0,12,52
6.91234,0,0,0,8,56
6.94672,0,0,0,4,60
6.98895,0,0,0,20,44
7.01822,0,0,0,4,60
7.03383,0,0,0,0,64
7.13794,0,0,0,4,60
7.26615,0,0,0,20,44
7.28763,0,0,0,4,60
7.4501,0,0,0,8,56
7.79816,0,0,0,4,60
7.9656,0,0,0,8,56
7.98921,0,0,0,4,60
8.44649,0,0,0,8,56
8.46796,0,0,0,4,60
8.8411,0,0,0,20,44
8.86258,0,0,0,4,60
9.08983,0,0,0,20,44
9.11131,0,0,0,4,60
9.21586,0,0,0,0,64
9.31959,0,0,0,4,60
9.34028,0,0,0,8,56
9.34105,0,0,0,4,60
9.3631,0,0,0,8,56
9.5673,0,0,0,12,52
9.63135,0,0,0,8,56
10.5224,0,0,0,4,60
10.6711,0,0,0,0,64
10.68,0,0,0,4,60
10.7132,0,0,0,8,56
10.7556,0,0,0,4,60
11.3192,0,0,0,8,56
11.4036,0,0,0,12,52
11.7328,0,0,0,8,56
11.7563,0,0,0,4,60
11.9468,0,0,0,0,64
12.0246,0,0,0,4,60
12.1155,0,0,0,0,64
12.2193,0,0,0,4,60
12.2408,0,0,0,0,64
12.3807,0,0,0,4,60
12.3983,0,0,0,8,56
12.41,0,0,0,4,60
12.4549,0,0,0,0,64
12.5676,0,0,0,4,60
12.6125,0,0,0,8,56
13.2209,0,0,0,24,40
13.2424,0,0,0,8,56
13.3258,0,0,0,12,52
13.3905,0,0,0,8,56
13.5884,0,0,0,4,60
13.6922,0,0,0,8,56
14.0143,0,0,0,4,60
14.1306,0,0,0,0,64
14.1495,0,0,0,4,60
14.2344,0,0,0,8,56
14.5267,0,0,0,4,60
14.5521,0,0,0,8,56
14.5891,0,0,0,4,60
14.7655,0,0,0,0,64
15.0642,0,0,0,4,60
15.0857,0,0,0,0,64
15.3058,0,0,0,16,48
15.3273,0,0,0,0,64
15.7841,0,0,0,4,60
15.8056,0,0,0,0,64
