time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0637849,0,0,0,48,16
0.0872029,0,0,0,32,32
0.110621,0,0,0,16,48
0.167258,0,0,0,0,64
1.14811,0,0,0,16,48
1.16958,0,0,0,12,52
1.18519,0,0,0,8,56
1.19298,0,0,0,4,60
1.2086,0,0,0,0,64
1.27337,0,0,0,4,60
1.29823,0,0,0,0,64
1.74646,0,0,0,4,60
1.76792,0,0,0,0,64
1.83345,0,0,0,4,60
1.86272,0,0,0,0,64
2.40059,0,0,0,4,60
2.42207,0,0,0,0,64
2.57965,0,0,0,4,60
2.60112,0,0,0,0,64
2.86735,0,0,0,4,60
2.88881,0,0,0,0,64
3.04641,0,0,0,4,60
3.06789,0,0,0,0,64
3.17164,0,0,0,4,60
3.20758,0,0,0,0,64
3.23459,0,0,0,16,48
3.25606,0,0,0,0,64
3.41984,0,0,0,16,48
3.44131,0,0,0,0,64
3.5868,0,0,0,4,60
3.60828,0,0,0,0,64
3.62273,0,0,0,16,48
3.64419,0,0,0,0,64
3.69203,0,0,0,4,60
3.70077,0,0,0,8,56
3.73496,0,0,0,4,60
3.75057,0,0,0,0,64
3.89257,0,0,0,4,60
3.91405,0,0,0,0,64
3.94568,0,0,0,16,48
3.96715,0,0,0,0,64
4.30725,0,0,0,4,60
4.45167,0,0,0,8,56
4.47313,0,0,0,4,60
4.63075,0,0,0,8,56
4.65222,0,0,0,4,60
5.01245,0,0,0,8,56
5.03391,0,0,0,4,60
5.18995,0,0,0,8,56
5.21142,0,0,0,4,60
5.68219,0,0,0,8,56
5.70365,0,0,0,4,60
5.86126,0,0,0,8,56
5.88842,0,0,0,4,60
5.94118,0,0,0,20,44
5.96264,0,0,0,4,60
5.97045,0,0,0,0,64
6.00202,0,0,0,4,60
6.0235,0,0,0,0,64
6.31134,0,0,0,4,60
6.33282,0,0,0,0,64
6.50847,0,0,0,4,60
6.52994,0,0,0,0,64
6.68759,0,0,0,4,60
6.70905,0,0,0,0,64
6.98868,0,0,0,4,60
7.01794,0,0,0,0,64
7.11311,0,0,0,16,48
7.13458,0,0,0,0,64
7.19811,0,0,0,4,60
7.22738,0,0,0,0,64
7.29841,0,0,0,16,48
7.31988,0,0,0,0,64
7.8757,0,0,0,4,60
7.89716,0,0,0,0,64
8.25163,0,0,0,4,60
8.2731,0,0,0,0,64
8.43504,0,0,0,4,60
8.46431,0,0,0,0,64
8.72741,0,0,0,4,60
8.74887,0,0,0,0,64
8.90651,0,0,0,4,60
8.92797,0,0,0,0,64
9.08559,0,0,0,4,60
9.10368,0,0,0,8,56
9.10707,0,0,0,4,60
9.13633,0,0,0,0,64
9.37316,0,0,0,4,60
9.39463,0,0,0,0,64
9.52796,0,0,0,16,48
9.54944,0,0,0,0,64
9.55228,0,0,0,4,60
9.59612,0,0,0,20,44
9.60212,0,0,0,16,48
9.63138,0,0,0,0,64
9.6742,0,0,0,4,60
9.69756,0,0,0,0,64
9.70589,0,0,0,4,60
9.72736,0,0,0,0,64
9.80137,0,0,0,4,60
9.82283,0,0,0,0,64
9.88499,0,0,0,4,60
9.90647,0,0,0,0,64
10.0103,0,0,0,4,60
10.0317,0,0,0,0,64
10.1893,0,0,0,4,60
10.2108,0,0,0,0,64
10.8585,0,0,0,4,60
10.88,0,0,0,0,64
10.9223,0,0,0,4,60
10.9437,0,0,0,0,64
11.1013,0,0,0,4,60
11.1228,0,0,0,0,64
11.2804,0,0,0,4,60
11.3019,0,0,0,0,64
11.501,0,0,0,4,60
