time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.01561,0,0,0,1020,4
2.01561,0,0,0,1004,20
3.01561,0,0,0,1000,24
3.41143,0,0,0,1004,20
3.66475,0,0,0,1008,16
4.01561,0,0,0,992,32
5.01561,0,0,0,988,36
6.01561,0,0,0,972,52
6.11619,0,0,0,976,48
7.01561,0,0,0,912,112
7.42622,0,0,0,928,96
8.01561,0,0,0,672,352
9.01561,0,0,0,668,356
9.17449,0,0,0,672,352
10.0156,0,0,0,656,368
10.9565,0,0,0,672,352
11.0156,0,0,0,608,416
11.0536,0,0,0,624,400
11.2668,0,0,0,688,336
11.9037,0,0,0,704,320
12.0156,0,0,0,448,576
13.0156,0,0,0,444,580
13.1194,0,0,0,448,576
14.0156,0,0,0,432,592
14.4754,0,0,0,448,576
15.0156,0,0,0,384,640
15.6532,0,0,0,448,576
16.0156,0,0,0,444,580
16.5533,0,0,0,448,576
17.0156,0,0,0,432,592
17.7005,0,0,0,496,528
18.0156,0,0,0,432,592
19.0156,0,0,0,176,848
19.6579,0,0,0,192,832
20.0156,0,0,0,188,836
21.0234,0,0,0,172,852
21.217,0,0,0,176,848
21.9013,0,0,0,240,784
22.9781,0,0,0,496,528
27.4613,0,0,0,752,272
31.3386,0,0,0,1008,16
34.2255,0,0,0,1024,0
