time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.01561,0,0,0,1020,4
2.01561,0,0,0,1004,20
3.01561,0,0,0,1000,24
3.41143,0,0,0,1004,20
3.66475,0,0,0,1008,16
4.01561,0,0,0,992,32
5.01561,0,0,0,988,36
6.01561,0,0,0,972,52
6.11614,0,0,0,976,48
7.01561,0,0,0,912,112
7.42614,0,0,0,928,96
8.01561,0,0,0,672,352
9.01561,0,0,0,668,356
9.1733,0,0,0,672,352
10.0156,0,0,0,656,368
10.9564,0,0,0,672,352
11.0156,0,0,0,608,416
11.054,0,0,0,624,400
11.3603,0,0,0,640,384
11.3703,0,0,0,704,320
12.0156,0,0,0,448,576
13.0156,0,0,0,444,580
13.1194,0,0,0,448,576
14.0156,0,0,0,432,592
14.4754,0,0,0,448,576
15.0156,0,0,0,384,640
15.63,0,0,0,448,576
16.0156,0,0,0,444,580
16.5536,0,0,0,448,576
17.0156,0,0,0,432,592
18.0156,0,0,0,368,656
19.0156,0,0,0,112,912
19.6579,0,0,0,128,896
20.0156,0,0,0,124,900
21.0234,0,0,0,108,916
21.2297,0,0,0,112,912
21.9017,0,0,0,176,848
22.9866,0,0,0,432,592
23.9971,0,0,0,496,528
27.1777,0,0,0,752,272
42.9958,0,0,0,768,256
44.9984,0,0,0,1024,0
