time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0024,0,0,0,511,1
4.71036,0,0,0,509,3
16.0051,0,0,0,508,4
38.8375,0,0,0,504,8
54.1971,0,0,0,503,9
70.3519,0,0,0,502,10
74.7695,0,0,0,506,6
88.5124,0,0,0,507,5
95.4501,0,0,0,503,9
112.134,0,0,0,507,5
121.611,0,0,0,505,7
126.479,0,0,0,503,9
136.02,0,0,0,499,13
142.707,0,0,0,500,12
142.902,0,0,0,498,14
148.092,0,0,0,500,12
153.507,0,0,0,492,20
164.478,0,0,0,490,22
168.989,0,0,0,489,23
178.246,0,0,0,490,22
179.194,0,0,0,488,24
190.959,0,0,0,490,22
193.42,0,0,0,488,24
202.307,0,0,0,496,16
205.675,0,0,0,498,14
211.618,0,0,0,496,16
221.355,0,0,0,492,20
222.49,0,0,0,488,24
240.875,0,0,0,472,40
253.025,0,0,0,471,41
265.243,0,0,0,463,49
266.78,0,0,0,479,33
270.51,0,0,0,481,31
273.698,0,0,0,483,29
274.81,0,0,0,491,21
283.88,0,0,0,489,23
290.505,0,0,0,485,27
295.995,0,0,0,486,26
302.156,0,0,0,482,30
308.933,0,0,0,480,32
309.045,0,0,0,484,28
324.442,0,0,0,482,30
334.37,0,0,0,484,28
336.461,0,0,0,482,30
338.088,0,0,0,486,26
341.535,0,0,0,487,25
346.188,0,0,0,486,26
350.342,0,0,0,487,25
358.86,0,0,0,485,27
362.942,0,0,0,487,25
378.408,0,0,0,486,26
389.082,0,0,0,485,27
400.604,0,0,0,484,28
419.569,0,0,0,482,30
424.83,0,0,0,484,28
426.55,0,0,0,488,24
435.469,0,0,0,486,26
444.403,0,0,0,482,30
449.883,0,0,0,484,28
453.546,0,0,0,480,32
459.153,0,0,0,476,36
461.95,0,0,0,478,34
463.146,0,0,0,482,30
477.592,0,0,0,483,29
486.3,0,0,0,475,37
489.478,0,0,0,479,33
491.144,0,0,0,477,35
496.126,0,0,0,469,43
497.753,0,0,0,471,41
505.693,0,0,0,479,33
