time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,240,16
0.0928051,0,0,0,176,80
0.119415,0,0,0,160,96
0.192645,0,0,0,96,160
0.22386,0,0,0,92,164
0.239465,0,0,0,88,168
0.262876,0,0,0,84,172
0.2941,0,0,0,20,236
0.317516,0,0,0,16,240
0.321262,0,0,0,32,224
0.362395,0,0,0,28,228
0.385806,0,0,0,24,232
0.393607,0,0,0,8,248
0.451648,0,0,0,72,184
0.452712,0,0,0,136,120
0.486775,0,0,0,120,136
0.50238,0,0,0,104,152
0.517991,0,0,0,40,216
0.582175,0,0,0,24,232
0.59407,0,0,0,40,216
0.619229,0,0,0,36,220
0.681922,0,0,0,20,236
0.70533,0,0,0,4,252
0.777366,0,0,0,8,248
0.836714,0,0,0,4,252
0.852324,0,0,0,0,256
0.872979,0,0,0,4,252
1.00244,0,0,0,20,236
1.00673,0,0,0,36,220
1.06098,0,0,0,32,224
1.21808,0,0,0,28,228
1.2473,0,0,0,24,232
1.26768,0,0,0,28,228
1.27072,0,0,0,12,244
1.3437,0,0,0,8,248
1.351,0,0,0,24,232
1.35109,0,0,0,28,228
1.41762,0,0,0,32,224
1.41783,0,0,0,16,240
1.44711,0,0,0,0,256
1.46258,0,0,0,4,252
1.53075,0,0,0,20,236
1.55575,0,0,0,16,240
1.57711,0,0,0,20,236
1.57916,0,0,0,4,252
1.5989,0,0,0,8,248
1.6377,0,0,0,4,252
1.66889,0,0,0,0,256
1.7727,0,0,0,4,252
1.80266,0,0,0,0,256
1.83919,0,0,0,16,240
1.86067,0,0,0,12,244
1.86847,0,0,0,8,248
1.88132,0,0,0,12,244
1.95194,0,0,0,16,240
1.97227,0,0,0,20,236
1.98524,0,0,0,4,252
2.05758,0,0,0,20,236
2.07904,0,0,0,4,252
2.14905,0,0,0,0,256
2.18744,0,0,0,16,240
2.2167,0,0,0,0,256
2.30675,0,0,0,4,252
2.32821,0,0,0,0,256
2.34014,0,0,0,4,252
2.39039,0,0,0,0,256
2.45564,0,0,0,64,192
2.48339,0,0,0,60,196
2.49119,0,0,0,56,200
2.49899,0,0,0,40,216
2.50679,0,0,0,24,232
2.51459,0,0,0,8,248
2.538,0,0,0,4,252
2.54794,0,0,0,8,248
2.59487,0,0,0,12,244
2.65639,0,0,0,16,240
2.67785,0,0,0,0,256
2.8654,0,0,0,4,252
2.91317,0,0,0,8,248
2.95515,0,0,0,4,252
3.02655,0,0,0,20,236
3.04802,0,0,0,4,252
3.0588,0,0,0,8,248
3.18419,0,0,0,24,232
3.20567,0,0,0,8,248
3.21125,0,0,0,12,244
3.22942,0,0,0,16,240
3.27201,0,0,0,12,244
3.61044,0,0,0,16,240
3.63191,0,0,0,0,256
3.82033,0,0,0,4,252
3.84179,0,0,0,0,256
3.89842,0,0,0,4,252
3.91925,0,0,0,8,248
3.92318,0,0,0,4,252
3.96806,0,0,0,0,256
4.00042,0,0,0,4,252
4.02947,0,0,0,8,248
4.11415,0,0,0,24,232
4.13562,0,0,0,8,248
4.22208,0,0,0,24,232
4.24742,0,0,0,8,248
4.50025,0,0,0,4,252
4.50901,0,0,0,20,236
4.53047,0,0,0,4,252
4.57467,0,0,0,0,256
4.79782,0,0,0,16,240
4.81929,0,0,0,12,244
4.92047,0,0,0,8,248
5.02414,0,0,0,12,244
5.063,0,0,0,28,228
5.09226,0,0,0,12,244
5.15624,0,0,0,28,228
5.17771,0,0,0,12,244
5.26925,0,0,0,16,240
5.29073,0,0,0,0,256
5.82524,0,0,0,4,252
5.8442,0,0,0,20,236
5.89684,0,0,0,16,240
5.90666,0,0,0,20,236
5.91246,0,0,0,16,240
5.93393,0,0,0,12,244
5.94954,0,0,0,8,248
5.95733,0,0,0,4,252
5.97295,0,0,0,0,256
6.00061,0,0,0,4,252
6.02534,0,0,0,0,256
6.07023,0,0,0,4,252
6.09168,0,0,0,0,256
6.13796,0,0,0,4,252
6.15942,0,0,0,0,256
6.35886,0,0,0,4,252
6.38033,0,0,0,0,256
6.48632,0,0,0,4,252
6.50779,0,0,0,0,256
6.56237,0,0,0,4,252
6.58384,0,0,0,0,256
6.60453,0,0,0,4,252
6.62012,0,0,0,8,248
6.6502,0,0,0,4,252
6.67361,0,0,0,0,256
6.83112,0,0,0,4,252
6.85259,0,0,0,0,256
6.91748,0,0,0,4,252
6.94832,0,0,0,0,256
7.18926,0,0,0,4,252
7.21073,0,0,0,0,256
7.23104,0,0,0,4,252
7.26342,0,0,0,0,256
7.27198,0,0,0,16,240
7.32388,0,0,0,12,244
7.39507,0,0,0,8,248
7.4575,0,0,0,4,252
7.59558,0,0,0,8,248
7.74788,0,0,0,12,244
7.86667,0,0,0,16,240
7.89687,0,0,0,0,256
8.27715,0,0,0,16,240
8.30641,0,0,0,12,244
8.31422,0,0,0,8,248
8.32202,0,0,0,4,252
8.32508,0,0,0,8,248
8.36141,0,0,0,12,244
8.40902,0,0,0,76,180
8.41175,0,0,0,72,184
8.41798,0,0,0,76,180
8.46248,0,0,0,60,196
8.47028,0,0,0,44,212
8.47808,0,0,0,28,228
8.48588,0,0,0,12,244
8.55083,0,0,0,16,240
8.55551,0,0,0,20,236
8.5573,0,0,0,16,240
8.56933,0,0,0,20,236
8.62167,0,0,0,4,252
8.6574,0,0,0,0,256
8.67228,0,0,0,4,252
8.70934,0,0,0,0,256
8.72849,0,0,0,4,252
8.75422,0,0,0,0,256
8.78259,0,0,0,16,240
8.80561,0,0,0,0,256
8.81298,0,0,0,4,252
8.85792,0,0,0,8,248
8.96913,0,0,0,12,244
8.97607,0,0,0,8,248
9.02874,0,0,0,4,252
9.05994,0,0,0,0,256
9.07866,0,0,0,16,240
9.10012,0,0,0,12,244
9.10792,0,0,0,8,248
9.13244,0,0,0,12,244
9.13913,0,0,0,8,248
9.18401,0,0,0,4,252
9.20373,0,0,0,8,248
9.21747,0,0,0,12,244
9.24405,0,0,0,16,240
9.24449,0,0,0,12,244
