time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,240,16
0.0928051,0,0,0,176,80
0.119415,0,0,0,160,96
0.192645,0,0,0,96,160
0.22386,0,0,0,92,164
0.239465,0,0,0,88,168
0.262876,0,0,0,84,172
0.2941,0,0,0,20,236
0.317516,0,0,0,16,240
0.321262,0,0,0,32,224
0.362395,0,0,0,16,240
0.385806,0,0,0,0,256
0.451655,0,0,0,64,192
0.452693,0,0,0,128,128
0.486782,0,0,0,112,144
0.502394,0,0,0,108,148
0.5102,0,0,0,104,152
0.533618,0,0,0,40,216
0.582184,0,0,0,24,232
0.594093,0,0,0,40,216
0.619262,0,0,0,36,220
0.681922,0,0,0,20,236
0.70535,0,0,0,4,252
0.777419,0,0,0,8,248
0.836731,0,0,0,4,252
0.837051,0,0,0,20,236
0.86048,0,0,0,36,220
0.865995,0,0,0,32,224
0.872741,0,0,0,36,220
1.0431,0,0,0,32,224
1.21807,0,0,0,28,228
1.22587,0,0,0,44,212
1.26853,0,0,0,48,208
1.27076,0,0,0,44,212
1.30003,0,0,0,28,228
1.34368,0,0,0,24,232
1.37461,0,0,0,28,228
1.40086,0,0,0,12,244
1.4177,0,0,0,16,240
1.46135,0,0,0,0,256
1.58105,0,0,0,4,252
1.60241,0,0,0,8,248
1.64119,0,0,0,4,252
1.66462,0,0,0,0,256
1.70557,0,0,0,4,252
1.72009,0,0,0,20,236
1.74295,0,0,0,16,240
1.75856,0,0,0,0,256
1.84703,0,0,0,4,252
1.8685,0,0,0,0,256
1.88149,0,0,0,4,252
1.90297,0,0,0,0,256
1.9658,0,0,0,4,252
1.99506,0,0,0,0,256
2.04364,0,0,0,16,240
2.06511,0,0,0,0,256
2.09916,0,0,0,4,252
2.1593,0,0,0,0,256
2.17856,0,0,0,16,240
2.18285,0,0,0,32,224
2.21369,0,0,0,16,240
2.24489,0,0,0,0,256
2.31751,0,0,0,4,252
2.33898,0,0,0,0,256
2.40599,0,0,0,4,252
2.42746,0,0,0,0,256
2.47136,0,0,0,64,192
2.49284,0,0,0,0,256
2.58543,0,0,0,4,252
2.60689,0,0,0,0,256
2.65685,0,0,0,4,252
2.67832,0,0,0,0,256
2.78201,0,0,0,4,252
2.80689,0,0,0,0,256
2.87633,0,0,0,4,252
2.93555,0,0,0,0,256
2.93694,0,0,0,4,252
3.03942,0,0,0,8,248
3.18117,0,0,0,12,244
3.23003,0,0,0,16,240
3.25157,0,0,0,12,244
3.6109,0,0,0,16,240
3.63237,0,0,0,0,256
3.89916,0,0,0,4,252
3.9074,0,0,0,8,248
3.93684,0,0,0,4,252
3.96027,0,0,0,0,256
4.05706,0,0,0,4,252
4.07853,0,0,0,0,256
4.09218,0,0,0,4,252
4.09478,0,0,0,8,248
4.43015,0,0,0,72,184
4.46493,0,0,0,8,248
4.50024,0,0,0,4,252
4.55424,0,0,0,20,236
4.58833,0,0,0,16,240
4.61955,0,0,0,0,256
5.06374,0,0,0,16,240
5.09301,0,0,0,0,256
5.14154,0,0,0,16,240
5.163,0,0,0,0,256
5.29026,0,0,0,4,252
5.31952,0,0,0,0,256
5.40002,0,0,0,16,240
5.42929,0,0,0,0,256
5.80402,0,0,0,4,252
5.85199,0,0,0,0,256
5.90325,0,0,0,4,252
5.92471,0,0,0,0,256
5.9557,0,0,0,4,252
5.97717,0,0,0,0,256
6.08276,0,0,0,4,252
6.09276,0,0,0,20,236
6.12568,0,0,0,16,240
6.14908,0,0,0,0,256
6.47082,0,0,0,4,252
6.4923,0,0,0,0,256
6.63369,0,0,0,4,252
6.66296,0,0,0,0,256
6.66314,0,0,0,4,252
6.70002,0,0,0,0,256
7.13993,0,0,0,4,252
7.1614,0,0,0,0,256
7.23754,0,0,0,4,252
7.2668,0,0,0,0,256
7.31056,0,0,0,4,252
7.35072,0,0,0,0,256
7.76837,0,0,0,16,240
7.78983,0,0,0,0,256
7.88823,0,0,0,4,252
7.9097,0,0,0,0,256
8.2601,0,0,0,4,252
8.28158,0,0,0,0,256
8.3695,0,0,0,4,252
8.39875,0,0,0,0,256
8.41067,0,0,0,64,192
8.44364,0,0,0,0,256
8.55877,0,0,0,16,240
8.58023,0,0,0,0,256
8.58813,0,0,0,64,192
8.60785,0,0,0,80,176
8.63877,0,0,0,16,240
8.66218,0,0,0,0,256
8.82591,0,0,0,16,240
8.84738,0,0,0,0,256
8.9292,0,0,0,4,252
8.95067,0,0,0,0,256
9.10824,0,0,0,4,252
9.1546,0,0,0,0,256
9.24949,0,0,0,4,252
9.27096,0,0,0,0,256
9.47433,0,0,0,16,240
9.4958,0,0,0,0,256
9.49746,0,0,0,4,252
9.52508,0,0,0,0,256
9.6594,0,0,0,4,252
9.68087,0,0,0,0,256
9.78558,0,0,0,16,240
9.80705,0,0,0,0,256
9.81694,0,0,0,16,240
9.83841,0,0,0,0,256
9.85886,0,0,0,16,240
9.88034,0,0,0,0,256
9.91872,0,0,0,4,252
9.94019,0,0,0,0,256
10.1292,0,0,0,16,240
10.1507,0,0,0,0,256
10.151,0,0,0,16,240
10.18,0,0,0,0,256
10.2473,0,0,0,16,240
10.2688,0,0,0,0,256
10.3553,0,0,0,16,240
10.3768,0,0,0,0,256
10.5143,0,0,0,16,240
10.5358,0,0,0,0,256
10.5763,0,0,0,64,192
10.5977,0,0,0,0,256
10.7798,0,0,0,4,252
10.8013,0,0,0,0,256
10.9574,0,0,0,64,192
10.9789,0,0,0,0,256
11.1235,0,0,0,64,192
11.145,0,0,0,0,256
11.2502,0,0,0,4,252
11.2717,0,0,0,0,256
11.5474,0,0,0,4,252
11.5689,0,0,0,0,256
11.9179,0,0,0,4,252
11.9361,0,0,0,20,236
11.9394,0,0,0,16,240
11.9686,0,0,0,0,256
12.0432,0,0,0,4,252
12.0647,0,0,0,0,256
12.1225,0,0,0,4,252
12.144,0,0,0,0,256
12.303,0,0,0,4,252
12.3245,0,0,0,0,256
12.371,0,0,0,4,252
12.3925,0,0,0,0,256
