time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,240,16
0.0928051,0,0,0,176,80
0.119415,0,0,0,160,96
0.192645,0,0,0,96,160
0.22386,0,0,0,92,164
0.239465,0,0,0,88,168
0.262876,0,0,0,84,172
0.2941,0,0,0,20,236
0.317516,0,0,0,16,240
0.321262,0,0,0,32,224
0.362395,0,0,0,28,228
0.385806,0,0,0,12,244
0.393607,0,0,0,8,248
0.451655,0,0,0,72,184
0.452711,0,0,0,136,120
0.486782,0,0,0,120,136
0.502394,0,0,0,104,152
0.518016,0,0,0,40,216
0.582166,0,0,0,24,232
0.59411,0,0,0,40,216
0.619237,0,0,0,36,220
0.681922,0,0,0,20,236
0.705332,0,0,0,4,252
0.777523,0,0,0,8,248
0.836731,0,0,0,4,252
0.852343,0,0,0,0,256
0.860403,0,0,0,16,240
0.873334,0,0,0,20,236
1.00767,0,0,0,36,220
1.04475,0,0,0,32,224
1.21808,0,0,0,28,228
1.24731,0,0,0,24,232
1.26773,0,0,0,28,228
1.27073,0,0,0,12,244
1.34371,0,0,0,8,248
1.35098,0,0,0,24,232
1.35112,0,0,0,28,228
1.41762,0,0,0,32,224
1.41786,0,0,0,16,240
1.44713,0,0,0,0,256
1.46259,0,0,0,4,252
1.54209,0,0,0,0,256
1.58018,0,0,0,4,252
1.5826,0,0,0,8,248
1.6412,0,0,0,4,252
1.65681,0,0,0,0,256
1.66931,0,0,0,16,240
1.69388,0,0,0,0,256
1.76116,0,0,0,4,252
1.80264,0,0,0,0,256
1.88147,0,0,0,4,252
1.90293,0,0,0,0,256
1.95226,0,0,0,4,252
1.98684,0,0,0,0,256
2.06229,0,0,0,16,240
2.08376,0,0,0,0,256
2.09078,0,0,0,4,252
2.09246,0,0,0,20,236
2.15008,0,0,0,4,252
2.1735,0,0,0,0,256
2.18768,0,0,0,16,240
2.21693,0,0,0,0,256
2.33108,0,0,0,4,252
2.34025,0,0,0,8,248
2.3662,0,0,0,4,252
2.40521,0,0,0,0,256
2.45581,0,0,0,64,192
2.48339,0,0,0,0,256
2.56284,0,0,0,4,252
2.58432,0,0,0,0,256
2.65668,0,0,0,4,252
2.67814,0,0,0,0,256
2.78177,0,0,0,4,252
2.80688,0,0,0,0,256
2.87888,0,0,0,4,252
2.90354,0,0,0,8,248
2.95702,0,0,0,4,252
3.06069,0,0,0,8,248
3.21305,0,0,0,12,244
3.23017,0,0,0,16,240
3.26522,0,0,0,12,244
3.61094,0,0,0,16,240
3.6324,0,0,0,0,256
3.89576,0,0,0,4,252
3.91283,0,0,0,8,248
3.93685,0,0,0,4,252
3.96026,0,0,0,0,256
4.03371,0,0,0,4,252
4.05986,0,0,0,0,256
4.09477,0,0,0,4,252
4.12995,0,0,0,8,248
4.41679,0,0,0,24,232
4.42083,0,0,0,88,168
4.46298,0,0,0,72,184
4.4864,0,0,0,8,248
4.50981,0,0,0,4,252
4.57469,0,0,0,0,256
5.06362,0,0,0,16,240
5.09287,0,0,0,0,256
5.15683,0,0,0,16,240
5.1783,0,0,0,0,256
5.2869,0,0,0,4,252
5.31617,0,0,0,0,256
5.32278,0,0,0,16,240
5.36886,0,0,0,0,256
5.43603,0,0,0,16,240
5.47338,0,0,0,0,256
5.49086,0,0,0,16,240
5.51233,0,0,0,0,256
5.81579,0,0,0,4,252
5.8676,0,0,0,0,256
5.89369,0,0,0,4,252
5.91514,0,0,0,0,256
5.97129,0,0,0,4,252
5.99275,0,0,0,0,256
6.01972,0,0,0,4,252
6.04898,0,0,0,0,256
6.1503,0,0,0,4,252
6.17176,0,0,0,0,256
6.35418,0,0,0,16,240
6.37565,0,0,0,0,256
6.45161,0,0,0,4,252
6.47647,0,0,0,0,256
6.63142,0,0,0,4,252
6.66069,0,0,0,0,256
6.70884,0,0,0,4,252
6.74724,0,0,0,0,256
7.12384,0,0,0,4,252
7.1453,0,0,0,0,256
7.28451,0,0,0,4,252
7.3079,0,0,0,8,248
7.34882,0,0,0,4,252
7.36442,0,0,0,0,256
7.90166,0,0,0,4,252
7.92313,0,0,0,0,256
8.17914,0,0,0,16,240
8.2006,0,0,0,0,256
8.24358,0,0,0,4,252
8.27669,0,0,0,0,256
8.40989,0,0,0,64,192
8.43917,0,0,0,0,256
8.44067,0,0,0,4,252
8.47624,0,0,0,0,256
8.9241,0,0,0,4,252
8.94556,0,0,0,0,256
9.07986,0,0,0,16,240
9.10132,0,0,0,0,256
9.10492,0,0,0,4,252
9.16181,0,0,0,0,256
9.25201,0,0,0,4,252
9.27347,0,0,0,0,256
9.28362,0,0,0,16,240
9.30509,0,0,0,0,256
9.57417,0,0,0,4,252
9.59564,0,0,0,0,256
9.74058,0,0,0,4,252
9.76205,0,0,0,0,256
9.86552,0,0,0,16,240
9.88699,0,0,0,0,256
9.91828,0,0,0,16,240
9.92083,0,0,0,20,236
9.95341,0,0,0,4,252
9.96903,0,0,0,0,256
10.3763,0,0,0,64,192
10.3978,0,0,0,0,256
10.4057,0,0,0,16,240
10.4271,0,0,0,0,256
10.8605,0,0,0,4,252
10.8819,0,0,0,0,256
11.3305,0,0,0,4,252
11.352,0,0,0,0,256
11.5475,0,0,0,16,240
11.5538,0,0,0,20,236
11.5826,0,0,0,4,252
11.5982,0,0,0,0,256
11.8013,0,0,0,16,240
11.8228,0,0,0,0,256
11.8348,0,0,0,16,240
11.8562,0,0,0,0,256
11.988,0,0,0,4,252
12.0079,0,0,0,20,236
12.0094,0,0,0,16,240
12.0196,0,0,0,32,224
12.0524,0,0,0,16,240
12.068,0,0,0,0,256
12.1132,0,0,0,4,252
12.1347,0,0,0,0,256
12.2263,0,0,0,4,252
12.2478,0,0,0,0,256
12.4053,0,0,0,4,252
12.4268,0,0,0,0,256
12.451,0,0,0,4,252
12.4725,0,0,0,0,256
12.6972,0,0,0,4,252
12.7028,0,0,0,68,188
12.7323,0,0,0,64,192
12.7479,0,0,0,0,256
12.7828,0,0,0,4,252
