time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,240,16
0.0928051,0,0,0,176,80
0.119415,0,0,0,160,96
0.192645,0,0,0,96,160
0.22386,0,0,0,92,164
0.239465,0,0,0,88,168
0.262876,0,0,0,84,172
0.2941,0,0,0,20,236
0.317516,0,0,0,16,240
0.321262,0,0,0,32,224
0.362395,0,0,0,28,228
0.385806,0,0,0,24,232
0.451659,0,0,0,88,168
0.452698,0,0,0,152,104
0.486785,0,0,0,136,120
0.502389,0,0,0,120,136
0.510189,0,0,0,104,152
0.533597,0,0,0,40,216
0.582185,0,0,0,24,232
0.594117,0,0,0,40,216
0.619259,0,0,0,36,220
0.681918,0,0,0,20,236
0.77755,0,0,0,24,232
0.836731,0,0,0,20,236
0.85234,0,0,0,16,240
0.873315,0,0,0,20,236
1.00726,0,0,0,36,220
1.02087,0,0,0,52,204
1.04239,0,0,0,36,220
1.0658,0,0,0,32,224
1.21808,0,0,0,28,228
1.24731,0,0,0,24,232
1.26771,0,0,0,28,228
1.34371,0,0,0,24,232
1.35258,0,0,0,28,228
1.37404,0,0,0,12,244
1.41757,0,0,0,16,240
1.46255,0,0,0,20,236
1.49665,0,0,0,4,252
1.54208,0,0,0,0,256
1.56319,0,0,0,16,240
1.56461,0,0,0,20,236
1.60375,0,0,0,24,232
1.63927,0,0,0,20,236
1.65488,0,0,0,4,252
1.6783,0,0,0,0,256
1.68666,0,0,0,16,240
1.71593,0,0,0,12,244
1.77338,0,0,0,8,248
1.78384,0,0,0,12,244
1.83652,0,0,0,8,248
1.88152,0,0,0,12,244
1.94096,0,0,0,16,240
1.95203,0,0,0,20,236
2.14905,0,0,0,16,240
2.17784,0,0,0,32,224
2.18744,0,0,0,48,208
2.21297,0,0,0,32,224
2.24419,0,0,0,28,228
2.25372,0,0,0,32,224
2.2598,0,0,0,16,240
2.3073,0,0,0,20,236
2.39039,0,0,0,16,240
2.40599,0,0,0,12,244
2.46192,0,0,0,8,248
2.52549,0,0,0,24,232
2.54779,0,0,0,20,236
2.54882,0,0,0,24,232
2.56573,0,0,0,28,228
2.57705,0,0,0,12,244
2.63922,0,0,0,76,180
2.65636,0,0,0,80,176
2.66069,0,0,0,64,192
2.68215,0,0,0,48,208
2.68995,0,0,0,32,224
2.69775,0,0,0,16,240
2.78149,0,0,0,20,236
2.83869,0,0,0,24,232
2.9316,0,0,0,20,236
3.03529,0,0,0,24,232
3.08754,0,0,0,28,228
3.19728,0,0,0,44,212
3.22654,0,0,0,28,228
3.22977,0,0,0,32,224
3.26361,0,0,0,28,228
3.53851,0,0,0,44,212
3.55997,0,0,0,28,228
3.61068,0,0,0,32,224
3.7037,0,0,0,36,220
3.8067,0,0,0,32,224
3.84307,0,0,0,36,220
3.87234,0,0,0,20,236
3.90355,0,0,0,16,240
3.91088,0,0,0,20,236
3.95622,0,0,0,16,240
3.96426,0,0,0,20,236
4.03151,0,0,0,24,232
4.18209,0,0,0,40,216
4.21161,0,0,0,24,232
4.28164,0,0,0,40,216
4.3031,0,0,0,24,232
4.39064,0,0,0,40,216
4.41212,0,0,0,24,232
4.50024,0,0,0,20,236
4.57468,0,0,0,16,240
4.6032,0,0,0,12,244
4.88637,0,0,0,28,228
4.92634,0,0,0,12,244
4.95755,0,0,0,8,248
5.06118,0,0,0,12,244
5.16416,0,0,0,28,228
5.18563,0,0,0,12,244
5.21952,0,0,0,16,240
5.33591,0,0,0,32,224
5.3661,0,0,0,16,240
5.4285,0,0,0,12,244
5.45191,0,0,0,8,248
5.53212,0,0,0,12,244
5.577,0,0,0,8,248
5.6082,0,0,0,4,252
5.60934,0,0,0,8,248
5.69208,0,0,0,4,252
5.72329,0,0,0,0,256
5.80233,0,0,0,4,252
5.85197,0,0,0,0,256
5.88026,0,0,0,4,252
5.90235,0,0,0,20,236
5.91474,0,0,0,24,232
5.9261,0,0,0,20,236
5.96316,0,0,0,16,240
5.97876,0,0,0,12,244
6.00386,0,0,0,8,248
6.05098,0,0,0,4,252
6.09966,0,0,0,0,256
6.14513,0,0,0,4,252
6.16661,0,0,0,0,256
6.32453,0,0,0,4,252
6.33903,0,0,0,8,248
6.34725,0,0,0,12,244
6.37031,0,0,0,16,240
6.38884,0,0,0,20,236
6.51575,0,0,0,24,232
6.59546,0,0,0,20,236
6.63088,0,0,0,16,240
6.6983,0,0,0,20,236
6.8118,0,0,0,16,240
7.02389,0,0,0,20,236
7.09651,0,0,0,16,240
7.19734,0,0,0,20,236
7.25908,0,0,0,16,240
7.27799,0,0,0,20,236
7.32998,0,0,0,24,232
7.39506,0,0,0,20,236
7.45747,0,0,0,16,240
7.82353,0,0,0,32,224
7.85828,0,0,0,16,240
7.89729,0,0,0,12,244
7.9684,0,0,0,16,240
8.02851,0,0,0,12,244
8.12411,0,0,0,8,248
8.13219,0,0,0,12,244
8.19453,0,0,0,16,240
8.35435,0,0,0,20,236
8.39817,0,0,0,16,240
8.40895,0,0,0,80,176
8.43822,0,0,0,64,192
8.44602,0,0,0,48,208
8.45383,0,0,0,32,224
8.46163,0,0,0,16,240
8.55554,0,0,0,20,236
8.55573,0,0,0,24,232
8.55731,0,0,0,20,236
8.56613,0,0,0,24,232
8.65744,0,0,0,20,236
8.70635,0,0,0,16,240
8.71435,0,0,0,20,236
8.74343,0,0,0,16,240
8.76612,0,0,0,32,224
8.77105,0,0,0,36,220
8.80905,0,0,0,20,236
8.81005,0,0,0,24,232
8.84706,0,0,0,28,228
8.97608,0,0,0,24,232
8.98682,0,0,0,28,228
8.9952,0,0,0,32,224
9.05023,0,0,0,28,228
9.08143,0,0,0,24,232
9.08923,0,0,0,20,236
9.10483,0,0,0,16,240
9.11878,0,0,0,32,224
9.14969,0,0,0,28,228
9.15394,0,0,0,32,224
9.19298,0,0,0,36,220
9.19457,0,0,0,32,224
9.20353,0,0,0,36,220
9.22384,0,0,0,20,236
9.23902,0,0,0,24,232
9.2644,0,0,0,28,228
