time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,240,16
0.0928051,0,0,0,176,80
0.119415,0,0,0,160,96
0.192645,0,0,0,96,160
0.22386,0,0,0,92,164
0.239465,0,0,0,88,168
0.262876,0,0,0,84,172
0.2941,0,0,0,20,236
0.317516,0,0,0,16,240
0.321262,0,0,0,32,224
0.362395,0,0,0,16,240
0.385806,0,0,0,0,256
0.451655,0,0,0,64,192
0.452693,0,0,0,128,128
0.486782,0,0,0,112,144
0.502394,0,0,0,108,148
0.5102,0,0,0,104,152
0.533618,0,0,0,40,216
0.582184,0,0,0,24,232
0.594093,0,0,0,40,216
0.619262,0,0,0,36,220
0.681922,0,0,0,20,236
0.70535,0,0,0,4,252
0.777419,0,0,0,8,248
0.836731,0,0,0,4,252
0.837051,0,0,0,20,236
0.86048,0,0,0,36,220
0.865995,0,0,0,32,224
0.872741,0,0,0,36,220
1.0431,0,0,0,32,224
1.21807,0,0,0,28,228
1.22587,0,0,0,44,212
1.26853,0,0,0,48,208
1.27076,0,0,0,44,212
1.30003,0,0,0,28,228
1.3437,0,0,0,24,232
1.37458,0,0,0,28,228
1.40085,0,0,0,12,244
1.41767,0,0,0,16,240
1.54209,0,0,0,12,244
1.581,0,0,0,16,240
1.58267,0,0,0,12,244
1.60249,0,0,0,16,240
1.6122,0,0,0,32,224
1.6412,0,0,0,28,228
1.67827,0,0,0,12,244
1.68608,0,0,0,8,248
1.70974,0,0,0,12,244
1.74493,0,0,0,16,240
1.782,0,0,0,12,244
1.8247,0,0,0,8,248
1.88128,0,0,0,12,244
1.92857,0,0,0,16,240
1.96565,0,0,0,20,236
2.14904,0,0,0,16,240
2.18347,0,0,0,32,224
2.18634,0,0,0,48,208
2.22361,0,0,0,52,204
2.2264,0,0,0,36,220
2.27127,0,0,0,20,236
2.28688,0,0,0,4,252
2.30248,0,0,0,0,256
2.30665,0,0,0,4,252
2.3904,0,0,0,0,256
2.47158,0,0,0,64,192
2.49305,0,0,0,0,256
2.5161,0,0,0,16,240
2.54536,0,0,0,0,256
2.54796,0,0,0,4,252
2.58244,0,0,0,0,256
2.65693,0,0,0,4,252
2.67841,0,0,0,0,256
2.7821,0,0,0,4,252
2.80689,0,0,0,0,256
2.83984,0,0,0,4,252
2.84403,0,0,0,8,248
2.93159,0,0,0,4,252
3.03528,0,0,0,8,248
3.08915,0,0,0,12,244
3.23023,0,0,0,16,240
3.23791,0,0,0,12,244
3.61106,0,0,0,16,240
3.7212,0,0,0,32,224
3.75046,0,0,0,16,240
3.8067,0,0,0,12,244
3.88555,0,0,0,16,240
3.8861,0,0,0,12,244
3.91713,0,0,0,16,240
3.96025,0,0,0,12,244
3.96428,0,0,0,16,240
3.97547,0,0,0,20,236
4.15442,0,0,0,24,232
4.43042,0,0,0,88,168
4.46494,0,0,0,24,232
4.50024,0,0,0,20,236
4.5747,0,0,0,16,240
4.60319,0,0,0,12,244
4.92048,0,0,0,8,248
5.0242,0,0,0,12,244
5.06399,0,0,0,28,228
5.09326,0,0,0,12,244
5.14171,0,0,0,28,228
5.16318,0,0,0,12,244
5.1846,0,0,0,28,228
5.20607,0,0,0,12,244
5.21501,0,0,0,16,240
5.4285,0,0,0,12,244
5.45192,0,0,0,8,248
5.53221,0,0,0,12,244
5.57707,0,0,0,8,248
5.60828,0,0,0,4,252
5.60952,0,0,0,8,248
5.69217,0,0,0,4,252
5.72339,0,0,0,0,256
5.79853,0,0,0,4,252
5.82779,0,0,0,0,256
5.87884,0,0,0,4,252
5.91947,0,0,0,0,256
5.92889,0,0,0,4,252
5.95815,0,0,0,0,256
6.14565,0,0,0,4,252
6.1671,0,0,0,0,256
6.33971,0,0,0,4,252
6.35273,0,0,0,8,248
6.36516,0,0,0,12,244
6.37087,0,0,0,16,240
6.37483,0,0,0,12,244
6.41777,0,0,0,8,248
6.42557,0,0,0,4,252
6.43337,0,0,0,0,256
6.59093,0,0,0,4,252
6.61691,0,0,0,0,256
6.64036,0,0,0,16,240
6.66963,0,0,0,0,256
6.70443,0,0,0,4,252
6.73943,0,0,0,0,256
7.01808,0,0,0,4,252
7.03955,0,0,0,0,256
7.06536,0,0,0,4,252
7.11795,0,0,0,0,256
7.3869,0,0,0,4,252
7.43215,0,0,0,0,256
7.52439,0,0,0,4,252
7.54587,0,0,0,0,256
7.73705,0,0,0,4,252
7.75851,0,0,0,0,256
7.96975,0,0,0,4,252
7.99123,0,0,0,0,256
8.10387,0,0,0,16,240
8.13775,0,0,0,0,256
8.21669,0,0,0,4,252
8.25524,0,0,0,0,256
8.26749,0,0,0,16,240
8.30012,0,0,0,0,256
8.3507,0,0,0,4,252
8.35898,0,0,0,8,248
8.39621,0,0,0,4,252
8.41083,0,0,0,68,188
8.43327,0,0,0,64,192
8.45669,0,0,0,0,256
8.58988,0,0,0,16,240
8.59076,0,0,0,20,236
8.60121,0,0,0,84,172
8.6425,0,0,0,68,188
8.66591,0,0,0,4,252
8.67371,0,0,0,0,256
8.7419,0,0,0,4,252
8.76336,0,0,0,0,256
8.85731,0,0,0,4,252
8.87877,0,0,0,0,256
8.87989,0,0,0,4,252
8.91585,0,0,0,0,256
8.9825,0,0,0,4,252
9.00962,0,0,0,8,248
9.01316,0,0,0,4,252
9.01958,0,0,0,8,248
9.04365,0,0,0,12,244
9.07169,0,0,0,8,248
9.09009,0,0,0,12,244
9.12241,0,0,0,8,248
9.13803,0,0,0,4,252
9.1415,0,0,0,20,236
9.1755,0,0,0,24,232
9.1829,0,0,0,20,236
9.22779,0,0,0,4,252
9.24184,0,0,0,8,248
9.24339,0,0,0,4,252
9.28003,0,0,0,8,248
9.28047,0,0,0,4,252
9.30973,0,0,0,0,256
9.34052,0,0,0,4,252
9.38422,0,0,0,8,248
9.43223,0,0,0,12,244
9.46057,0,0,0,28,228
9.47446,0,0,0,44,212
9.48203,0,0,0,28,228
9.5113,0,0,0,12,244
9.55096,0,0,0,16,240
