time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.00006,0,0,0,252,4
1.75568,0,0,0,256,0
2.00006,0,0,0,240,16
2.97302,0,0,0,256,0
3.00006,0,0,0,252,4
3.23981,0,0,0,256,0
4.00006,0,0,0,240,16
5.00006,0,0,0,236,20
5.17832,0,0,0,252,4
5.5294,0,0,0,256,0
6.00006,0,0,0,240,16
6.9584,0,0,0,256,0
7.00006,0,0,0,192,64
8.37461,0,0,0,256,0
8.37486,0,0,0,0,256
10.1998,0,0,0,256,0
10.2001,0,0,0,240,16
10.2001,0,0,0,236,20
10.5693,0,0,0,252,4
10.6603,0,0,0,256,0
11.0001,0,0,0,192,64
11.2633,0,0,0,256,0
12.0001,0,0,0,0,256
30.1022,0,0,0,256,0
30.1025,0,0,0,0,256
33.6779,0,0,0,256,0
33.6782,0,0,0,192,64
33.6782,0,0,0,128,128
33.6782,0,0,0,112,144
33.6783,0,0,0,96,160
33.6783,0,0,0,80,176
33.6783,0,0,0,76,180
33.6784,0,0,0,72,184
33.6784,0,0,0,68,188
33.9511,0,0,0,84,172
33.9929,0,0,0,148,108
34.2916,0,0,0,152,104
34.434,0,0,0,156,100
34.9033,0,0,0,160,96
34.9588,0,0,0,176,80
35.19,0,0,0,240,16
35.5234,0,0,0,256,0
