time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.031224,0,0,0,240,16
0.0928051,0,0,0,176,80
0.119415,0,0,0,160,96
0.192645,0,0,0,96,160
0.22386,0,0,0,92,164
0.239465,0,0,0,88,168
0.262876,0,0,0,84,172
0.2941,0,0,0,20,236
0.317516,0,0,0,16,240
0.321262,0,0,0,32,224
0.362395,0,0,0,28,228
0.385806,0,0,0,12,244
0.393607,0,0,0,8,248
0.451655,0,0,0,72,184
0.452711,0,0,0,136,120
0.486782,0,0,0,120,136
0.502394,0,0,0,104,152
0.518016,0,0,0,40,216
0.582166,0,0,0,24,232
0.59411,0,0,0,40,216
0.619237,0,0,0,36,220
0.681922,0,0,0,20,236
0.77748,0,0,0,24,232
0.836731,0,0,0,20,236
0.852336,0,0,0,16,240
0.860417,0,0,0,32,224
0.873291,0,0,0,36,220
0.90335,0,0,0,20,236
1.00778,0,0,0,36,220
1.04488,0,0,0,32,224
1.21808,0,0,0,28,228
1.24732,0,0,0,24,232
1.26786,0,0,0,28,228
1.34369,0,0,0,24,232
1.35113,0,0,0,28,228
1.37802,0,0,0,44,212
1.41769,0,0,0,48,208
1.41784,0,0,0,32,224
1.46269,0,0,0,36,220
1.4998,0,0,0,20,236
1.54208,0,0,0,16,240
1.56968,0,0,0,20,236
1.58268,0,0,0,16,240
1.58293,0,0,0,20,236
1.64122,0,0,0,16,240
1.66464,0,0,0,12,244
1.7078,0,0,0,28,228
1.72927,0,0,0,12,244
1.74498,0,0,0,16,240
1.78207,0,0,0,12,244
1.82469,0,0,0,8,248
1.88158,0,0,0,12,244
1.92845,0,0,0,16,240
1.95218,0,0,0,20,236
2.14904,0,0,0,16,240
2.18739,0,0,0,32,224
2.20233,0,0,0,36,220
2.20369,0,0,0,52,204
2.21666,0,0,0,36,220
2.27519,0,0,0,20,236
2.2908,0,0,0,16,240
2.30666,0,0,0,20,236
2.3904,0,0,0,16,240
2.406,0,0,0,12,244
2.45585,0,0,0,76,180
2.46192,0,0,0,72,184
2.49119,0,0,0,8,248
2.5291,0,0,0,24,232
2.53412,0,0,0,20,236
2.54798,0,0,0,24,232
2.56565,0,0,0,28,228
2.57704,0,0,0,12,244
2.65693,0,0,0,16,240
2.82829,0,0,0,20,236
2.84419,0,0,0,24,232
2.93159,0,0,0,20,236
3.03531,0,0,0,24,232
3.09054,0,0,0,28,228
3.23034,0,0,0,32,224
3.23792,0,0,0,28,228
3.61141,0,0,0,32,224
3.63288,0,0,0,16,240
3.72024,0,0,0,20,236
3.80671,0,0,0,16,240
3.83356,0,0,0,20,236
3.88564,0,0,0,24,232
3.88624,0,0,0,20,236
3.94856,0,0,0,16,240
3.96446,0,0,0,20,236
3.97562,0,0,0,24,232
4.18186,0,0,0,40,216
4.2116,0,0,0,24,232
4.4285,0,0,0,88,168
4.46494,0,0,0,24,232
4.50023,0,0,0,20,236
4.57468,0,0,0,16,240
4.60319,0,0,0,12,244
4.92048,0,0,0,8,248
5.02413,0,0,0,12,244
5.0643,0,0,0,28,228
5.09356,0,0,0,12,244
5.15748,0,0,0,28,228
5.17895,0,0,0,12,244
5.19928,0,0,0,16,240
5.4285,0,0,0,12,244
5.45191,0,0,0,8,248
5.5324,0,0,0,12,244
5.56785,0,0,0,28,228
5.57727,0,0,0,24,232
5.60952,0,0,0,28,228
5.62215,0,0,0,12,244
5.65141,0,0,0,8,248
5.69822,0,0,0,4,252
5.72942,0,0,0,0,256
5.79632,0,0,0,4,252
5.81676,0,0,0,20,236
5.82559,0,0,0,16,240
5.8677,0,0,0,20,236
5.87047,0,0,0,4,252
5.90949,0,0,0,8,248
5.91184,0,0,0,24,232
5.91534,0,0,0,20,236
5.96605,0,0,0,4,252
5.97386,0,0,0,0,256
6.18849,0,0,0,4,252
6.20995,0,0,0,0,256
6.34038,0,0,0,4,252
6.34552,0,0,0,8,248
6.36261,0,0,0,12,244
6.37551,0,0,0,8,248
6.37666,0,0,0,12,244
6.41844,0,0,0,8,248
6.42624,0,0,0,4,252
6.44037,0,0,0,20,236
6.44186,0,0,0,16,240
6.47894,0,0,0,0,256
6.59956,0,0,0,4,252
6.62103,0,0,0,0,256
6.74723,0,0,0,4,252
6.76869,0,0,0,0,256
7.01333,0,0,0,4,252
7.0348,0,0,0,0,256
7.06565,0,0,0,4,252
7.11796,0,0,0,0,256
7.41602,0,0,0,4,252
7.46336,0,0,0,0,256
7.52415,0,0,0,4,252
7.54562,0,0,0,0,256
7.71655,0,0,0,4,252
7.74582,0,0,0,0,256
7.96871,0,0,0,4,252
7.99018,0,0,0,0,256
8.21599,0,0,0,4,252
8.25523,0,0,0,0,256
8.35886,0,0,0,4,252
8.36534,0,0,0,8,248
8.39621,0,0,0,4,252
8.41021,0,0,0,68,188
8.43327,0,0,0,64,192
8.45668,0,0,0,0,256
8.59107,0,0,0,4,252
8.61516,0,0,0,0,256
8.79507,0,0,0,4,252
8.81653,0,0,0,0,256
8.84361,0,0,0,4,252
8.86508,0,0,0,0,256
8.8708,0,0,0,4,252
8.90213,0,0,0,0,256
8.9689,0,0,0,4,252
9.00585,0,0,0,8,248
9.01245,0,0,0,12,244
9.01313,0,0,0,8,248
9.04351,0,0,0,12,244
9.08532,0,0,0,8,248
9.08817,0,0,0,12,244
9.10093,0,0,0,8,248
9.13657,0,0,0,24,232
9.138,0,0,0,20,236
9.14857,0,0,0,36,220
9.16727,0,0,0,32,224
9.18908,0,0,0,36,220
9.22581,0,0,0,20,236
9.24141,0,0,0,4,252
9.24175,0,0,0,8,248
9.25865,0,0,0,12,244
9.28627,0,0,0,8,248
9.31552,0,0,0,4,252
9.32333,0,0,0,0,256
9.32669,0,0,0,4,252
9.41932,0,0,0,8,248
9.42663,0,0,0,12,244
9.55058,0,0,0,16,240
9.74912,0,0,0,32,224
9.77059,0,0,0,16,240
9.82374,0,0,0,20,236
10.1402,0,0,0,36,220
10.1422,0,0,0,40,216
10.1753,0,0,0,24,232
