Rank;	Iteration;	E0;	
0;	0;	0.000184384;	
0;	1;	0.000184384;	
0;	2;	0.000184384;	
0;	3;	0.000184384;	
0;	4;	0.000184384;	
0;	5;	0.000184384;	
0;	6;	0.000184384;	
0;	7;	0.000184384;	
0;	8;	0.000184384;	
0;	9;	0.000184384;	
0;	10;	 ;	
1;	0;	0.000184384;	
1;	1;	0.000184384;	
1;	2;	0.000184384;	
1;	3;	0.000184384;	
1;	4;	0.000184384;	
1;	5;	0.000184384;	
1;	6;	0.000184384;	
1;	7;	0.000184384;	
1;	8;	0.000184384;	
1;	9;	0.000184384;	
1;	10;	 ;	
2;	0;	0.000184384;	
2;	1;	0.000184384;	
2;	2;	0.000184384;	
2;	3;	0.000184384;	
2;	4;	0.000184384;	
2;	5;	0.000184384;	
2;	6;	0.000184384;	
2;	7;	0.000184384;	
2;	8;	0.000184384;	
2;	9;	0.000184384;	
2;	10;	 ;	
3;	0;	0.000184384;	
3;	1;	0.000184384;	
3;	2;	0.000184384;	
3;	3;	0.000184383;	
3;	4;	0.000184384;	
3;	5;	0.000184384;	
3;	6;	0.000184384;	
3;	7;	0.000184384;	
3;	8;	0.000184384;	
3;	9;	0.000184384;	
3;	10;	 ;	
4;	0;	0.000184384;	
4;	1;	0.000184384;	
4;	2;	0.000184384;	
4;	3;	0.000184384;	
4;	4;	0.000184384;	
4;	5;	0.000184384;	
4;	6;	0.000184384;	
4;	7;	0.000184384;	
4;	8;	0.000184384;	
4;	9;	0.000184384;	
4;	10;	 ;	
5;	0;	0.000184384;	
5;	1;	0.000184384;	
5;	2;	0.000184384;	
5;	3;	0.000184384;	
5;	4;	0.000184384;	
5;	5;	0.000184384;	
5;	6;	0.000184384;	
5;	7;	0.000184384;	
5;	8;	0.000184384;	
5;	9;	0.000184384;	
5;	10;	 ;	
6;	0;	0.000184384;	
6;	1;	0.000184384;	
6;	2;	0.000184384;	
6;	3;	0.000184384;	
6;	4;	0.000184384;	
6;	5;	0.000184384;	
6;	6;	0.000184384;	
6;	7;	0.000184384;	
6;	8;	0.000184384;	
6;	9;	0.000184384;	
6;	10;	 ;	
7;	0;	0.000184384;	
7;	1;	0.000184384;	
7;	2;	0.000184384;	
7;	3;	0.000184384;	
7;	4;	0.000184384;	
7;	5;	0.000184384;	
7;	6;	0.000184384;	
7;	7;	0.000184384;	
7;	8;	0.000184384;	
7;	9;	0.000184384;	
7;	10;	 ;	
8;	0;	0.000184384;	
8;	1;	0.000184384;	
8;	2;	0.000184385;	
8;	3;	0.000184384;	
8;	4;	0.000184384;	
8;	5;	0.000184384;	
8;	6;	0.000184384;	
8;	7;	0.000184384;	
8;	8;	0.000184384;	
8;	9;	0.000184383;	
8;	10;	 ;	
9;	0;	0.000184384;	
9;	1;	0.000184384;	
9;	2;	0.000184384;	
9;	3;	0.000184384;	
9;	4;	0.000184384;	
9;	5;	0.000184384;	
9;	6;	0.000184384;	
9;	7;	0.000184384;	
9;	8;	0.000184384;	
9;	9;	0.000184384;	
9;	10;	 ;	
10;	0;	0.000184384;	
10;	1;	0.000184384;	
10;	2;	0.000184383;	
10;	3;	0.000184384;	
10;	4;	0.000184384;	
10;	5;	0.000184384;	
10;	6;	0.000184384;	
10;	7;	0.000184384;	
10;	8;	0.000184384;	
10;	9;	0.000184384;	
10;	10;	 ;	
11;	0;	0.000184384;	
11;	1;	0.000184384;	
11;	2;	0.000184384;	
11;	3;	0.000184384;	
11;	4;	0.000184384;	
11;	5;	0.000184384;	
11;	6;	0.000184384;	
11;	7;	0.000184384;	
11;	8;	0.000184384;	
11;	9;	0.000184384;	
11;	10;	 ;	
12;	0;	0.000184384;	
12;	1;	0.000184384;	
12;	2;	0.000184384;	
12;	3;	0.000184384;	
12;	4;	0.000184384;	
12;	5;	0.000184384;	
12;	6;	0.000184384;	
12;	7;	0.000184384;	
12;	8;	0.000184384;	
12;	9;	0.000184384;	
12;	10;	 ;	
13;	0;	0.000184384;	
13;	1;	0.000184384;	
13;	2;	0.000184384;	
13;	3;	0.000184384;	
13;	4;	0.000184384;	
13;	5;	0.000184384;	
13;	6;	0.000184384;	
13;	7;	0.000184384;	
13;	8;	0.000184384;	
13;	9;	0.000184384;	
13;	10;	 ;	
14;	0;	0.000184384;	
14;	1;	0.000184384;	
14;	2;	0.000184384;	
14;	3;	0.000184384;	
14;	4;	0.000184384;	
14;	5;	0.000184384;	
14;	6;	0.000184384;	
14;	7;	0.000184384;	
14;	8;	0.000184384;	
14;	9;	0.000184384;	
14;	10;	 ;	
15;	0;	0.000184384;	
15;	1;	0.000184384;	
15;	2;	0.000184384;	
15;	3;	0.000184384;	
15;	4;	0.000184384;	
15;	5;	0.000184384;	
15;	6;	0.000184384;	
15;	7;	0.000184384;	
15;	8;	0.000184384;	
15;	9;	0.000184384;	
15;	10;	 ;	
16;	0;	0.000184384;	
16;	1;	0.000184384;	
16;	2;	0.000184383;	
16;	3;	0.000184384;	
16;	4;	0.000184384;	
16;	5;	0.000184384;	
16;	6;	0.000184384;	
16;	7;	0.000184384;	
16;	8;	0.000184384;	
16;	9;	0.000184384;	
16;	10;	 ;	
17;	0;	0.000184384;	
17;	1;	0.000184384;	
17;	2;	0.000184384;	
17;	3;	0.000184384;	
17;	4;	0.000184384;	
17;	5;	0.000184384;	
17;	6;	0.000184384;	
17;	7;	0.000184384;	
17;	8;	0.000184384;	
17;	9;	0.000184384;	
17;	10;	 ;	
18;	0;	0.000184384;	
18;	1;	0.000184384;	
18;	2;	0.000184384;	
18;	3;	0.000184384;	
18;	4;	0.000184384;	
18;	5;	0.000184384;	
18;	6;	0.000184384;	
18;	7;	0.000184384;	
18;	8;	0.000184384;	
18;	9;	0.000184384;	
18;	10;	 ;	
19;	0;	0.000184384;	
19;	1;	0.000184384;	
19;	2;	0.000184385;	
19;	3;	0.000184384;	
19;	4;	0.000184384;	
19;	5;	0.000184384;	
19;	6;	0.000184384;	
19;	7;	0.000184384;	
19;	8;	0.000184384;	
19;	9;	0.000184384;	
19;	10;	 ;	
20;	0;	0.000184384;	
