$R_Omega$;	torus6_Cost;	torus6_Length;	torus5_Cost;	torus5_Length;	torus4_Cost;	torus4_Length;	torus_Cost;	torus_Length;	df_Cost;	df_Length;	rr-6_Cost;	rr-6_Length;	ring_Cost;	ring_Length;	optimized_Cost;	optimized_Length;	total_Cost;	total_Length;	
32;	24480.1 ;2592000.0;	24615.1 ;2808000.0;	24450.1 ;2544000.0;	24450.1 ;2544000.0;	16448.8 ;1934000.0;	35343.9 ;3972000.0;	4073.76 ;422000;	42603.3 ;4919000.0;	153861.86000000002 ;16816000.0;	
64;	66305.3 ;8552000.0;	66440.3 ;8768000.0;	66155.2 ;8312000.0;	66485.4 ;8840000.0;	128609 ;15274000.0;	72796.6 ;9794000.0;	8312.54 ;1108000.0;	188215 ;27584000.0;	475104.3399999999 ;60648000.0;	
96;	124171 ;15792000.0;	124050 ;15600000.0;	98775.4 ;11736000.0;	99225.4 ;12456000.0;	195554 ;24088000.0;	110747 ;15650000.0;	12266.3 ;1338000.0;	329496 ;50180000.0;	764789.1000000001 ;96660000.0;	
144;	225421 ;31488000.0;	188266 ;26904000.0;	149760 ;20160000.0;	149926 ;20424000.0;	291986 ;38932000.0;	169400 ;26436000.0;	18671.3 ;2442000.0;	649656 ;109044000.0;	1193430.3 ;166786000.0;	
196;	302581 ;45216000.0;	249556 ;33528000.0;	199546 ;26664000.0;	200476 ;28152000.0;	394171 ;54600000.0;	226647 ;35736000.0;	24971.4 ;3378000.0;	969909 ;174916000.0;	1597948.4 ;227274000.0;	
256;	406292 ;64848000.0;	405632 ;63792000.0;	270561 ;42752000.0;	269286 ;40712000.0;	543188 ;88810000.0;	307087 ;56236000.0;	32983.9 ;4006000.0;	1279560.0 ;248975000.0;	2235029.9 ;361156000.0;	
324;	691338 ;118584000.0;	505052 ;67416000.0;	336241 ;44208000.0;	337397 ;46056000.0;	1168840.0 ;176220000.0;	391236 ;73526000.0;	42097.7 ;5634000.0;	2630960.0 ;548863000.0;	3472201.7 ;531644000.0;	
400;	639018 ;108024000.0;	643338 ;114936000.0;	419902 ;62240000.0;	419272 ;61232000.0;	1518500.0 ;282280000.0;	489372 ;99480000.0;	52739 ;8182000.0;	2824300.0 ;619684000.0;	4182141.0 ;736374000.0;	
480;	766563 ;129216000.0;	758133 ;115728000.0;	510558 ;85368000.0;	510423 ;85152000.0;	1758530.0 ;317328000.0;	592482 ;125010000.0;	64129 ;11166000.0;	3874530.0 ;859073000.0;	4960818.0 ;868968000.0;	
576;	918708 ;153192000.0;	924213 ;162000000.0;	615198 ;106488000.0;	621318 ;116280000.0;	2185070.0 ;457240000.0;	715666 ;159798000.0;	76327.8 ;12396000.0;	4419920.0 ;1032180000.0;	6056500.8 ;1167394000.0;	
692;	1082810.0 ;196296000.0;	1090610.0 ;208776000.0;	709563 ;111168000.0;	714273 ;118704000.0;	2550890.0 ;509131000.0;	839082 ;192672000.0;	90742.9 ;17172000.0;	5635330.0 ;1406320000.0;	7077970.9 ;1353919000.0;	
784;	1280900.0 ;257208000.0;	1262940.0 ;228480000.0;	835763 ;142400000.0;	836978 ;144344000.0;	3059870.0 ;612539000.0;	997233 ;255214000.0;	103267 ;15874000.0;	6760950.0 ;1788460000.0;	8376951.0 ;1656059000.0;	
900;	1968060.0 ;405696000.0;	1491750.0 ;329400000.0;	960843 ;165744000.0;	960978 ;165960000.0;	5002790.0 ;1165370000.0;	1147110.0 ;293842000.0;	118654 ;18396000.0;	9497390.0 ;2504520000.0;	11650185.0 ;2544408000.0;	
1024;	1686710.0 ;357864000.0;	1694460.0 ;370272000.0;	1120870.0 ;232808000.0;	1111300.0 ;217496000.0;	5690860.0 ;1307700000.0;	1325150.0 ;364591000.0;	140647 ;29962000.0;	11711900.0 ;3401860000.0;	12769997.0 ;2880693000.0;	
