$Stage$;	direct_N1;	direct_N2;	ppanel_N1;	ppanel_N2;	
1;	140.134;	564.289;	558.931;	562.146;	
2;	540.537;	140.134;	555.18;	558.394;	
3;	539.466;	557.86;	1628.22;	557.323;	
4;	445.037;	134.599;	536.251;	556.789;	
5;	981.826;	999.68;	1311.35;	538.394;	
6;	537.323;	537.323;	431.966;	672.322;	
7;	1055.72;	1346.43;	672.768;	138.795;	
8;	651.789;	554.109;	1068.22;	1592.51;	
9;	138.259;	1772.33;	1524.68;	134.063;	
10;	1660.55;	644.834;	4973.81;	575.081;	
11;	956.466;	819.02;	1029.29;	641.521;	
12;	128.929;	1547.15;	270.447;	1130.17;	
13;	2038.25;	1524.97;	1301.79;	1115.57;	
14;	124.197;	124.197;	2286.97;	1199.33;	
	
#average;	80578.5651031746;	80351.71781746032;	82949.89189430894;	78010.37937795275;	
