time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.00006,0,0,0,252,4
1.75568,0,0,0,256,0
2.00006,0,0,0,240,16
2.97302,0,0,0,256,0
3.00006,0,0,0,252,4
3.23981,0,0,0,256,0
4.00006,0,0,0,240,16
5.00006,0,0,0,236,20
5.17832,0,0,0,252,4
5.5294,0,0,0,256,0
6.00006,0,0,0,240,16
6.9584,0,0,0,256,0
7.00006,0,0,0,192,64
8.37461,0,0,0,256,0
8.37486,0,0,0,0,256
10.1998,0,0,0,256,0
10.2001,0,0,0,252,4
10.2001,0,0,0,236,20
10.567,0,0,0,252,4
10.6786,0,0,0,256,0
11.0001,0,0,0,192,64
11.2633,0,0,0,256,0
12.0001,0,0,0,0,256
30.1022,0,0,0,256,0
30.1025,0,0,0,252,4
30.1025,0,0,0,248,8
30.1025,0,0,0,244,12
30.1025,0,0,0,228,28
30.1026,0,0,0,212,44
30.1026,0,0,0,196,60
30.1026,0,0,0,132,124
30.1027,0,0,0,68,188
30.3646,0,0,0,84,172
30.403,0,0,0,148,108
30.7022,0,0,0,152,104
30.8681,0,0,0,156,100
31.3719,0,0,0,160,96
31.3829,0,0,0,176,80
31.6049,0,0,0,240,16
31.9587,0,0,0,256,0
31.959,0,0,0,0,256
35.5344,0,0,0,256,0
